NaN,NaN,115,118,121,124,127,130,133,136,139,142,145,148,151,154
95,4.45E-05,3.15E-05,7.83E-05,6.32E-05,0.000122771,0.000171945,0.000600609,0.000701789,0.001232154,0.001281628,0.00216089,0.00218429,0.002333832,0.004789086,0.007833806
190,4.86E-05,NaN,NaN,3.94E-05,5.83E-05,9.62E-05,0.000183241,0.00026113,0.000456097,0.000635031,0.000837449,0.001131289,0.001225447,0.002604105,0.004076623
285,4.32E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.99E-05,7.00E-05,0.000133292,0.000228257,0.001036352,0.002013425
