NaN,NaN,103,106,109,112,115,118,121,124,127,130,133,136,139,142,145,148,151,154
95,3.17753E-05,2.93229E-05,3.56814E-05,4.51805E-05,6.69959E-05,7.90065E-05,0.000156493,0.000219421,0.000590418,0.00128343,0.002346828,0.003098978,0.005685836,0.008085485,0.008186995,0.011360225,0.013658225,0.0191759,0.020243525
190,4.17439E-05,NaN,NaN,3.7771E-05,4.92486E-05,5.22438E-05,6.53569E-05,7.01551E-05,0.000141502,0.000283869,0.000484708,0.000564519,0.001331934,0.00242032,0.002558843,0.00344433,0.003023043,0.005558759,0.005372318
285,4.21064E-05,NaN,NaN,NaN,NaN,NaN,3.61803E-05,5.83681E-05,8.62484E-05,0.000149266,0.000302138,0.000492397,0.001025087,0.001858896,0.002525701,0.004091413,0.005223184,0.009455501,0.01106745
