130,139,142,151,151,148,148,145,,
109,115,115,124,130,130,136,136,142,142
106,121,124,127,127,130,148,145,148,148
109,124,130,133,136,133,151,154,,
115,133,136,142,141,148,148,,,
121,133,136,145,148,145,145,,,
127,142,142,145,151,151,148,,,
118,133,139,142,145,148,154,151,151,
118,142,142,148,154,154,154,154,154,
124,145,145,148,154,,,,,
121,130,136,139,142,145,151,154,154,
124,130,139,139,145,136,154,154,,154
100,115,115,124,133,127,136,142,139,142
103,115,130,133,136,136,142,142,145,145
112,124,127,127,130,130,136,136,139,145
115,133,142,148,151,148,,,,
112,133,136,139,145,145,,,,
112,127,133,136,136,142,148,148,145,154
106,118,124,127,130,127,139,133,145,148
112,130,133,133,139,142,142,148,148,148
100,106,118,124,127,136,133,139,139,145
106,118,124,124,130,133,136,139,139,142
106,112,115,124,124,136,139,148,154,154
109,127,136,136,142,145,151,154,,
