118,133,142,148,148,148,,,,
118,124,127,136,139,151,,,,154
115,127,136,139,142,151,151,145,,
118,121,127,130,133,139,139,145,154,154
118,124,142,148,148,148,154,154,154,154
106,115,124,127,130,139,142,145,148,148
118,124,127,136,139,142,142,142,151,
127,124,133,136,145,151,151,151,154,
124,133,145,148,151,154,,,,
124,133,148,154,,,,,,
124,127,130,136,136,139,139,151,151,148
124,127,139,139,136,148,154,,,
118,133,145,142,151,148,148,151,,
130,145,154,151,,,,,,
121,133,139,145,148,151,154,,,
121,139,145,148,151,154,,,,
130,130,136,139,139,142,145,148,148,154
118,121,130,136,139,139,142,142,139,151
118,124,121,130,133,136,136,139,142,148
118,130,133,142,145,148,148,151,151,154
115,124,133,139,142,142,145,148,151,148
118,130,133,142,145,148,148,151,151,
106,121,121,130,136,136,142,139,145,145
106,121,127,133,136,139,139,145,148,151
