115,109,136,139,145,145,154,,,
136,136,142,145,145,151,148,148,148,154
124,139,142,148,151,154,154,154,,
127,136,142,148,148,151,,,,
118,136,145,148,148,154,,,,
130,142,154,,,,,154,,
130,139,,,,,,,,
130,154,,,,,,,,
121,136,139,148,151,154,,,,
127,148,,,151,,,,,
115,133,145,148,151,154,,,,
112,136,145,151,,,,,,
121,142,145,148,151,154,,,154,
124,145,148,151,154,,,,,
121,130,139,145,151,,,,,
133,139,151,,,,,,,
130,148,151,154,154,,,,,
136,154,,,,,,,,
124,136,139,148,154,,154,,,
136,151,148,154,,,,,,
130,142,148,154,,,,,,
127,145,151,,,,,,,
118,130,139,142,145,154,,,,
139,139,145,154,151,151,,,,
