	DX	DY	DZ	
	m	m	m	
Node 1025: 1: 0.0 Hz	3.59175e-7	2.40858e-6	-5.468e-6	
Node 1025: 2: 14.8424 Hz	4.41384e-7	2.82639e-6	-5.88481e-6	
Node 1025: 3: 16.6339 Hz	4.65902e-7	2.94585e-6	-5.99575e-6	
Node 1025: 4: 18.1274 Hz	4.89712e-7	3.05973e-6	-6.09761e-6	
Node 1025: 5: 25.0 Hz	6.42069e-7	3.73576e-6	-6.59289e-6	
Node 1025: 6: 25.7088 Hz	6.61021e-7	3.81227e-6	-6.63039e-6	
Node 1025: 7: 35.5784 Hz	7.89182e-7	3.98756e-6	-5.64138e-6	
Node 1025: 8: 37.2406 Hz	7.54114e-7	3.74255e-6	-5.1608e-6	
Node 1025: 9: 39.8727 Hz	6.70089e-7	3.26002e-6	-4.36809e-6	
Node 1025: 10: 42.1489 Hz	5.84039e-7	2.82329e-6	-3.73322e-6	
Node 1025: 11: 43.4527 Hz	5.34524e-7	2.58701e-6	-3.40898e-6	
Node 1025: 12: 47.2364 Hz	4.06914e-7	2.0079e-6	-2.65612e-6	
Node 1025: 13: 50.0 Hz	3.36018e-7	1.69124e-6	-2.27872e-6	
Node 1025: 14: 51.4775 Hz	3.06012e-7	1.5536e-6	-2.13062e-6	
Node 1025: 15: 61.6258 Hz	2.00802e-7	9.75377e-7	-1.79881e-6	
Node 1025: 16: 62.6836 Hz	1.95975e-7	9.37781e-7	-1.80481e-6	
Node 1025: 17: 73.0068 Hz	1.7295e-7	6.77318e-7	-1.97784e-6	
Node 1025: 18: 75.0 Hz	1.71563e-7	6.42233e-7	-2.02022e-6	
Node 1025: 19: 87.2501 Hz	1.73594e-7	4.859e-7	-2.27788e-6	
Node 1025: 20: 89.2682 Hz	1.75145e-7	4.67112e-7	-2.31845e-6	
Node 1025: 21: 100.0 Hz	1.87336e-7	3.87929e-7	-2.5256e-6	
Node 1025: 22: 105.754 Hz	1.96555e-7	3.56133e-7	-2.6321e-6	
Node 1025: 23: 107.58 Hz	1.99933e-7	3.47221e-7	-2.66539e-6	
Node 1025: 24: 125.0 Hz	2.47229e-7	2.85966e-7	-2.9716e-6	
Node 1025: 25: 126.323 Hz	2.52195e-7	2.83095e-7	-2.99391e-6	
Node 1025: 26: 132.804 Hz	2.79759e-7	2.73374e-7	-3.10081e-6	
Node 1025: 27: 150.0 Hz	3.76328e-7	2.87027e-7	-3.36304e-6	
Node 1025: 28: 150.257 Hz	3.77962e-7	2.87638e-7	-3.36671e-6	
Node 1025: 29: 151.844 Hz	3.88132e-7	2.91624e-7	-3.38923e-6	
Node 1025: 30: 154.968 Hz	4.08461e-7	3.00399e-7	-3.4326e-6	
Node 1025: 31: 164.868 Hz	4.73984e-7	3.33441e-7	-3.5596e-6	
Node 1025: 32: 172.472 Hz	5.23267e-7	3.60423e-7	-3.64072e-6	
Node 1025: 33: 175.0 Hz	5.39094e-7	3.69139e-7	-3.66312e-6	
Node 1025: 34: 178.006 Hz	5.57401e-7	3.79158e-7	-3.68607e-6	
Node 1025: 35: 182.173 Hz	5.81679e-7	3.92243e-7	-3.71037e-6	
Node 1025: 36: 183.196 Hz	5.87419e-7	3.95292e-7	-3.71487e-6	
Node 1025: 37: 191.569 Hz	6.3049e-7	4.17358e-7	-3.72729e-6	
Node 1025: 38: 200.0 Hz	6.65621e-7	4.33818e-7	-3.6921e-6	
Node 1025: 39: 209.144 Hz	6.93168e-7	4.44975e-7	-3.60002e-6	
Node 1025: 40: 217.491 Hz	7.08739e-7	4.49736e-7	-3.47419e-6	
Node 1025: 41: 224.746 Hz	7.1559e-7	4.50538e-7	-3.34106e-6	
Node 1025: 42: 225.0 Hz	7.1573e-7	4.5052e-7	-3.33609e-6	
Node 1025: 43: 232.775 Hz	7.17137e-7	4.48828e-7	-3.17768e-6	
Node 1025: 44: 247.769 Hz	7.07561e-7	4.4143e-7	-2.85691e-6	
Node 1025: 45: 249.996 Hz	7.05107e-7	4.40073e-7	-2.80952e-6	
Node 1025: 46: 250.0 Hz	7.05103e-7	4.4007e-7	-2.80944e-6	
Node 1025: 47: 254.384 Hz	6.99665e-7	4.37289e-7	-2.71722e-6	
Node 1025: 48: 257.877 Hz	6.94813e-7	4.34992e-7	-2.645e-6	
Node 1025: 49: 261.992 Hz	6.88567e-7	4.32218e-7	-2.56163e-6	
Node 1025: 50: 268.384 Hz	6.77848e-7	4.27792e-7	-2.43624e-6	
Node 1025: 51: 275.0 Hz	6.65593e-7	4.2308e-7	-2.31216e-6	
Node 1025: 52: 286.723 Hz	6.41376e-7	4.14354e-7	-2.10732e-6	
Node 1025: 53: 290.897 Hz	6.32083e-7	4.11096e-7	-2.03905e-6	
Node 1025: 54: 300.0 Hz	6.10816e-7	4.03613e-7	-1.89851e-6	
Node 1025: 55: 302.805 Hz	6.04032e-7	4.01183e-7	-1.85746e-6	
Node 1025: 56: 305.502 Hz	5.97426e-7	3.98782e-7	-1.81895e-6	
Node 1025: 57: 307.079 Hz	5.9353e-7	3.97347e-7	-1.79687e-6	
Node 1025: 58: 314.94 Hz	5.73832e-7	3.89824e-7	-1.69147e-6	
Node 1025: 59: 318.341 Hz	5.65212e-7	3.86361e-7	-1.64818e-6	
Node 1025: 60: 322.948 Hz	5.53504e-7	3.81457e-7	-1.5917e-6	
Node 1025: 61: 325.0 Hz	5.48287e-7	3.79189e-7	-1.56731e-6	
Node 1025: 62: 327.561 Hz	5.41785e-7	3.76287e-7	-1.53751e-6	
Node 1025: 63: 350.0 Hz	4.8631e-7	3.47416e-7	-1.30492e-6	
Node 1025: 64: 358.727 Hz	4.65901e-7	3.34698e-7	-1.2269e-6	
Node 1025: 65: 363.981 Hz	4.53996e-7	3.26739e-7	-1.18292e-6	
Node 1025: 66: 371.469 Hz	4.37542e-7	3.15116e-7	-1.12393e-6	
Node 1025: 67: 375.0 Hz	4.2999e-7	3.09556e-7	-1.09754e-6	
Node 1025: 68: 377.132 Hz	4.25493e-7	3.06184e-7	-1.08203e-6	
Node 1025: 69: 395.201 Hz	3.89252e-7	2.77661e-7	-9.62657e-7	
Node 1025: 70: 400.0 Hz	3.80168e-7	2.70242e-7	-9.34324e-7	
Node 1025: 71: 413.426 Hz	3.55921e-7	2.50208e-7	-8.618e-7	
Node 1025: 72: 425.0 Hz	3.36381e-7	2.34004e-7	-8.06521e-7	
Node 1025: 73: 431.201 Hz	3.2643e-7	2.25774e-7	-7.7938e-7	
Node 1025: 74: 436.68 Hz	3.17937e-7	2.1877e-7	-7.56714e-7	
Node 1025: 75: 439.133 Hz	3.14227e-7	2.15715e-7	-7.46949e-7	
Node 1025: 76: 440.071 Hz	3.12823e-7	2.1456e-7	-7.43275e-7	
Node 1025: 77: 450.0 Hz	2.98469e-7	2.02766e-7	-7.06315e-7	
Node 1025: 78: 459.204 Hz	2.85982e-7	1.92507e-7	-6.74965e-7	
Node 1025: 79: 468.186 Hz	2.74545e-7	1.8307e-7	-6.46776e-7	
Node 1025: 80: 475.0 Hz	2.66351e-7	1.76257e-7	-6.26815e-7	
Node 1025: 81: 489.777 Hz	2.49956e-7	1.62398e-7	-5.87225e-7	
Node 1025: 82: 500.0 Hz	2.39657e-7	1.53461e-7	-5.62412e-7	
Node 1025: 83: 517.326 Hz	2.23977e-7	1.39365e-7	-5.24329e-7	
Node 1025: 84: 520.232 Hz	2.21548e-7	1.37118e-7	-5.18367e-7	
Node 1025: 85: 521.341 Hz	2.20635e-7	1.36269e-7	-5.16119e-7	
Node 1025: 86: 525.0 Hz	2.17678e-7	1.335e-7	-5.08818e-7	
Node 1025: 87: 538.731 Hz	2.07273e-7	1.23535e-7	-4.82789e-7	
Node 1025: 88: 544.009 Hz	2.03537e-7	1.19876e-7	-4.733e-7	
Node 1025: 89: 550.0 Hz	1.99456e-7	1.15836e-7	-4.62839e-7	
Node 1025: 90: 557.978 Hz	1.94258e-7	1.10638e-7	-4.49367e-7	
Node 1025: 91: 575.0 Hz	1.83922e-7	1.00237e-7	-4.22124e-7	
Node 1025: 92: 599.258 Hz	1.70465e-7	8.70658e-8	-3.86026e-7	
Node 1025: 93: 600.0 Hz	1.7007e-7	8.66947e-8	-3.84962e-7	
Node 1025: 94: 609.776 Hz	1.6493e-7	8.19831e-8	-3.71122e-7	
Node 1025: 95: 617.622 Hz	1.60877e-7	7.84492e-8	-3.60237e-7	
Node 1025: 96: 625.0 Hz	1.5711e-7	7.53312e-8	-3.5016e-7	
Node 1025: 97: 628.013 Hz	1.5558e-7	7.41156e-8	-3.46084e-7	
Node 1025: 98: 638.223 Hz	1.50431e-7	7.02483e-8	-3.32438e-7	
Node 1025: 99: 643.334 Hz	1.47868e-7	6.84584e-8	-3.25693e-7	
Node 1025: 100: 650.0 Hz	1.44535e-7	6.62699e-8	-3.16981e-7	
Node 1025: 101: 661.025 Hz	1.39044e-7	6.30063e-8	-3.02773e-7	
Node 1025: 102: 675.0 Hz	1.32114e-7	5.94791e-8	-2.85125e-7	
Node 1025: 103: 687.294 Hz	1.26048e-7	5.68932e-8	-2.69954e-7	
Node 1025: 104: 697.3 Hz	1.21142e-7	5.5104e-8	-2.57879e-7	
Node 1025: 105: 700.0 Hz	1.19824e-7	5.46644e-8	-2.54666e-7	
Node 1025: 106: 709.929 Hz	1.15003e-7	5.31877e-8	-2.43028e-7	
Node 1025: 107: 722.389 Hz	1.09027e-7	5.15983e-8	-2.28855e-7	
Node 1025: 108: 725.0 Hz	1.07788e-7	5.12959e-8	-2.25951e-7	
