	DX	DY	DZ	
	m	m	m	
Node 1025: 1: 0.0 Hz	1.11843e-5	6.08491e-6	-3.38407e-6	
Node 1025: 2: 14.8424 Hz	1.20363e-5	6.68156e-6	-3.68073e-6	
Node 1025: 3: 16.6339 Hz	1.22675e-5	6.8448e-6	-3.76292e-6	
Node 1025: 4: 18.1274 Hz	1.24843e-5	6.99809e-6	-3.84146e-6	
Node 1025: 5: 25.0 Hz	1.37629e-5	7.8858e-6	-4.37138e-6	
Node 1025: 6: 25.7088 Hz	1.39172e-5	7.98802e-6	-4.4493e-6	
Node 1025: 7: 35.5784 Hz	1.58623e-5	9.06564e-6	-6.09108e-6	
Node 1025: 8: 37.2406 Hz	1.59738e-5	9.15801e-6	-6.30343e-6	
Node 1025: 9: 39.8727 Hz	1.58269e-5	9.20716e-6	-6.42114e-6	
Node 1025: 10: 42.1489 Hz	1.53026e-5	9.06948e-6	-6.28564e-6	
Node 1025: 11: 43.4527 Hz	1.48358e-5	8.89201e-6	-6.11961e-6	
Node 1025: 12: 47.2364 Hz	1.29908e-5	8.0104e-6	-5.39167e-6	
Node 1025: 13: 50.0 Hz	1.14564e-5	7.16304e-6	-4.7524e-6	
Node 1025: 14: 51.4775 Hz	-1.06536e-5	6.6923e-6	4.40756e-6	
Node 1025: 15: 61.6258 Hz	-6.39574e-6	3.98303e-6	2.4482e-6	
Node 1025: 16: 62.6836 Hz	-6.07759e-6	3.7762e-6	2.29835e-6	
Node 1025: 17: 73.0068 Hz	-3.80386e-6	2.3961e-6	1.32293e-6	
Node 1025: 18: 75.0 Hz	-3.49907e-6	2.23185e-6	1.21304e-6	
Node 1025: 19: 87.2501 Hz	-2.23746e-6	1.63881e-6	8.21276e-7	
Node 1025: 20: 89.2682 Hz	-2.1042e-6	1.58984e-6	7.85158e-7	
Node 1025: 21: 100.0 Hz	-1.6302e-6	1.48089e-6	6.61944e-7	
Node 1025: 22: 105.754 Hz	-1.50702e-6	1.50596e-6	6.322e-7	
Node 1025: 23: 107.58 Hz	-1.4831e-6	1.52346e-6	6.2722e-7	
Node 1025: 24: 125.0 Hz	-1.47671e-6	1.83253e-6	6.62318e-7	
Node 1025: 25: 126.323 Hz	-1.48437e-6	1.861e-6	6.69076e-7	
Node 1025: 26: 132.804 Hz	-1.52295e-6	1.99701e-6	7.0476e-7	
Node 1025: 27: 150.0 Hz	-1.58598e-6	2.24553e-6	7.80059e-7	
Node 1025: 28: 150.257 Hz	-1.5864e-6	2.24745e-6	7.80673e-7	
Node 1025: 29: 151.844 Hz	-1.58878e-6	2.258e-6	7.8406e-7	
Node 1025: 30: 154.968 Hz	-1.59262e-6	2.2726e-6	7.88681e-7	
Node 1025: 31: 164.868 Hz	-1.60427e-6	2.27137e-6	7.86573e-7	
Node 1025: 32: 172.472 Hz	-1.62091e-6	2.23439e-6	7.70903e-7	
Node 1025: 33: 175.0 Hz	-1.6289e-6	2.21773e-6	7.6371e-7	
Node 1025: 34: 178.006 Hz	1.64015e-6	2.19608e-6	-7.54166e-7	
Node 1025: 35: 182.173 Hz	1.65891e-6	2.16388e-6	-7.39501e-7	
Node 1025: 36: 183.196 Hz	1.66407e-6	2.15573e-6	-7.35691e-7	
Node 1025: 37: 191.569 Hz	1.71372e-6	2.08829e-6	-7.02356e-7	
Node 1025: 38: 200.0 Hz	1.77497e-6	2.02376e-6	-6.666e-7	
Node 1025: 39: 209.144 Hz	1.85044e-6	1.96221e-6	-6.27242e-7	
Node 1025: 40: 217.491 Hz	1.92446e-6	1.91536e-6	-5.91749e-7	
Node 1025: 41: 224.746 Hz	1.99079e-6	1.88199e-6	-5.61547e-7	
Node 1025: 42: 225.0 Hz	1.99313e-6	1.88094e-6	-5.605e-7	
Node 1025: 43: 232.775 Hz	2.06451e-6	1.8524e-6	-5.28898e-7	
Node 1025: 44: 247.769 Hz	2.19643e-6	1.8138e-6	-4.70139e-7	
Node 1025: 45: 249.996 Hz	2.21476e-6	1.80946e-6	-4.61678e-7	
Node 1025: 46: 250.0 Hz	2.21479e-6	1.80945e-6	-4.61664e-7	
Node 1025: 47: 254.384 Hz	2.24949e-6	1.80165e-6	-4.45252e-7	
Node 1025: 48: 257.877 Hz	2.27565e-6	1.79601e-6	-4.3243e-7	
Node 1025: 49: 261.992 Hz	2.30448e-6	1.78982e-6	-4.17656e-7	
Node 1025: 50: 268.384 Hz	2.34435e-6	1.78082e-6	-3.95519e-7	
Node 1025: 51: 275.0 Hz	2.37829e-6	1.77169e-6	-3.7381e-7	
Node 1025: 52: 286.723 Hz	2.41653e-6	1.75429e-6	-3.3885e-7	
Node 1025: 53: 290.897 Hz	2.42255e-6	1.74733e-6	-3.27576e-7	
Node 1025: 54: 300.0 Hz	2.42066e-6	1.73007e-6	-3.05192e-7	
Node 1025: 55: 302.805 Hz	2.41583e-6	1.72409e-6	-2.98897e-7	
Node 1025: 56: 305.502 Hz	2.40929e-6	1.71801e-6	-2.93105e-7	
Node 1025: 57: 307.079 Hz	2.40461e-6	1.71429e-6	-2.89834e-7	
Node 1025: 58: 314.94 Hz	2.37209e-6	1.69392e-6	-2.74752e-7	
Node 1025: 59: 318.341 Hz	2.35344e-6	1.6841e-6	-2.68821e-7	
Node 1025: 60: 322.948 Hz	2.32408e-6	1.66975e-6	-2.61319e-7	
Node 1025: 61: 325.0 Hz	2.30956e-6	1.66297e-6	-2.58161e-7	
Node 1025: 62: 327.561 Hz	2.29027e-6	1.65416e-6	-2.5437e-7	
Node 1025: 63: 350.0 Hz	2.07765e-6	1.56062e-6	-2.26989e-7	
Node 1025: 64: 358.727 Hz	1.9814e-6	1.51702e-6	-2.18455e-7	
Node 1025: 65: 363.981 Hz	1.92191e-6	1.48923e-6	-2.13713e-7	
Node 1025: 66: 371.469 Hz	1.83655e-6	1.4481e-6	-2.07375e-7	
Node 1025: 67: 375.0 Hz	1.79644e-6	1.42824e-6	-2.04533e-7	
Node 1025: 68: 377.132 Hz	1.77234e-6	1.41615e-6	-2.02857e-7	
Node 1025: 69: 395.201 Hz	1.57578e-6	1.31286e-6	-1.89724e-7	
Node 1025: 70: 400.0 Hz	1.52676e-6	1.28586e-6	-1.86522e-7	
Node 1025: 71: 413.426 Hz	1.39868e-6	1.21311e-6	-1.78165e-7	
Node 1025: 72: 425.0 Hz	1.29985e-6	1.15488e-6	-1.71676e-7	
Node 1025: 73: 431.201 Hz	1.2514e-6	1.12569e-6	-1.68478e-7	
Node 1025: 74: 436.68 Hz	1.21118e-6	1.10113e-6	-1.65815e-7	
Node 1025: 75: 439.133 Hz	1.19395e-6	1.09052e-6	-1.64673e-7	
Node 1025: 76: 440.071 Hz	1.18748e-6	1.08652e-6	-1.64244e-7	
Node 1025: 77: 450.0 Hz	1.12313e-6	1.04627e-6	-1.59977e-7	
Node 1025: 78: 459.204 Hz	1.0698e-6	1.01222e-6	-1.56449e-7	
Node 1025: 79: 468.186 Hz	1.02312e-6	9.81799e-7	-1.53373e-7	
Node 1025: 80: 475.0 Hz	-9.90909e-7	9.60406e-7	1.51257e-7	
Node 1025: 81: 489.777 Hz	-9.2926e-7	9.18309e-7	1.4721e-7	
Node 1025: 82: 500.0 Hz	-8.9214e-7	8.92001e-7	1.44747e-7	
Node 1025: 83: 517.326 Hz	-8.37062e-7	8.51091e-7	1.40952e-7	
Node 1025: 84: 520.232 Hz	-8.28589e-7	8.4455e-7	1.40342e-7	
Node 1025: 85: 521.341 Hz	-8.25402e-7	8.4207e-7	1.4011e-7	
Node 1025: 86: 525.0 Hz	-8.15068e-7	8.33953e-7	1.39348e-7	
Node 1025: 87: 538.731 Hz	-7.78306e-7	8.04056e-7	1.36497e-7	
Node 1025: 88: 544.009 Hz	-7.64848e-7	7.92682e-7	1.35389e-7	
Node 1025: 89: 550.0 Hz	-7.49914e-7	7.79779e-7	1.34116e-7	
Node 1025: 90: 557.978 Hz	-7.30472e-7	7.62534e-7	1.32389e-7	
Node 1025: 91: 575.0 Hz	-6.90142e-7	7.25211e-7	1.28577e-7	
Node 1025: 92: 599.258 Hz	-6.34172e-7	6.70446e-7	1.22914e-7	
Node 1025: 93: 600.0 Hz	-6.3248e-7	6.68747e-7	1.22739e-7	
Node 1025: 94: 609.776 Hz	-6.10273e-7	6.46256e-7	1.20428e-7	
Node 1025: 95: 617.622 Hz	-5.92599e-7	6.28135e-7	1.18582e-7	
Node 1025: 96: 625.0 Hz	-5.76118e-7	6.11093e-7	1.16859e-7	
Node 1025: 97: 628.013 Hz	-5.6943e-7	6.04145e-7	1.16161e-7	
Node 1025: 98: 638.223 Hz	-5.46987e-7	5.80709e-7	1.1382e-7	
Node 1025: 99: 643.334 Hz	-5.3589e-7	5.69067e-7	1.12666e-7	
