	DX	DY	DZ	
	m	m	m	
Node 1025: 1: 0.0 Hz	6.17591e-6	1.84875e-6	-4.7694e-6	
Node 1025: 2: 14.8424 Hz	6.60098e-6	1.87974e-6	-5.21337e-6	
Node 1025: 3: 16.6339 Hz	6.71623e-6	1.89043e-6	-5.33493e-6	
Node 1025: 4: 18.1274 Hz	6.82468e-6	1.90252e-6	-5.44912e-6	
Node 1025: 5: 25.0 Hz	7.4882e-6	2.06423e-6	-6.11394e-6	
Node 1025: 6: 25.7088 Hz	7.5739e-6	2.10151e-6	-6.19125e-6	
Node 1025: 7: 35.5784 Hz	9.00868e-6	3.36891e-6	-6.83863e-6	
Node 1025: 8: 37.2406 Hz	9.18102e-6	3.61199e-6	-6.75316e-6	
Node 1025: 9: 39.8727 Hz	9.24997e-6	3.84928e-6	-6.45208e-6	
Node 1025: 10: 42.1489 Hz	9.04733e-6	3.85689e-6	-6.03874e-6	
Node 1025: 11: 43.4527 Hz	8.82059e-6	3.77772e-6	-5.75038e-6	
Node 1025: 12: 47.2364 Hz	-7.83783e-6	3.29817e-6	4.79124e-6	
Node 1025: 13: 50.0 Hz	-6.99501e-6	2.83777e-6	4.06428e-6	
Node 1025: 14: 51.4775 Hz	-6.55455e-6	2.59055e-6	3.69033e-6	
Node 1025: 15: 61.6258 Hz	-4.30317e-6	1.41755e-6	1.73505e-6	
Node 1025: 16: 62.6836 Hz	-4.14525e-6	1.36328e-6	1.60634e-6	
Node 1025: 17: 73.0068 Hz	-3.11822e-6	1.27189e-6	1.07154e-6	
Node 1025: 18: 75.0 Hz	-3.00135e-6	1.29467e-6	1.07031e-6	
Node 1025: 19: 87.2501 Hz	-2.52234e-6	1.41259e-6	1.17483e-6	
Node 1025: 20: 89.2682 Hz	-2.4533e-6	1.42306e-6	1.18786e-6	
Node 1025: 21: 100.0 Hz	-2.06204e-6	1.46966e-6	1.23797e-6	
Node 1025: 22: 105.754 Hz	-1.85602e-6	1.50975e-6	1.27291e-6	
Node 1025: 23: 107.58 Hz	-1.79486e-6	1.5262e-6	1.28703e-6	
Node 1025: 24: 125.0 Hz	-1.35943e-6	1.74438e-6	1.48281e-6	
Node 1025: 25: 126.323 Hz	-1.33675e-6	1.76206e-6	1.50008e-6	
Node 1025: 26: 132.804 Hz	-1.24009e-6	1.84109e-6	1.5838e-6	
Node 1025: 27: 150.0 Hz	1.02872e-6	1.92843e-6	-1.77308e-6	
Node 1025: 28: 150.257 Hz	1.02546e-6	1.92804e-6	-1.77547e-6	
Node 1025: 29: 151.844 Hz	1.00504e-6	1.92448e-6	-1.79e-6	
