	DX	DY	DZ	
	m	m	m	
Node 1025: 1: 0.0 Hz	3.99306e-7	9.52958e-7	-2.16957e-6	
Node 1025: 2: 14.8424 Hz	4.80879e-7	1.21149e-6	-2.38427e-6	
Node 1025: 3: 16.6339 Hz	5.04356e-7	1.28732e-6	-2.44268e-6	
Node 1025: 4: 18.1274 Hz	5.26816e-7	1.36054e-6	-2.49695e-6	
Node 1025: 5: 25.0 Hz	6.62639e-7	1.82319e-6	-2.77847e-6	
Node 1025: 6: 25.7088 Hz	6.78446e-7	1.88046e-6	-2.80335e-6	
Node 1025: 7: 35.5784 Hz	7.45891e-7	2.33124e-6	-2.44422e-6	
Node 1025: 8: 37.2406 Hz	7.09762e-7	2.26735e-6	-2.22386e-6	
Node 1025: 9: 39.8727 Hz	6.39671e-7	2.10738e-6	-1.85142e-6	
Node 1025: 10: 42.1489 Hz	5.79612e-7	1.94828e-6	-1.5503e-6	
Node 1025: 11: 43.4527 Hz	5.48444e-7	1.85924e-6	-1.39698e-6	
Node 1025: 12: 47.2364 Hz	4.73859e-7	1.63138e-6	-1.04406e-6	
Node 1025: 13: 50.0 Hz	4.32243e-7	1.49716e-6	-8.65726e-7	
Node 1025: 14: 51.4775 Hz	4.13592e-7	1.4354e-6	-7.92977e-7	
Node 1025: 15: 61.6258 Hz	-3.32392e-7	1.14637e-6	5.55835e-7	
Node 1025: 16: 62.6836 Hz	-3.27048e-7	1.12647e-6	5.46999e-7	
Node 1025: 17: 73.0068 Hz	-2.90171e-7	9.99391e-7	5.35319e-7	
Node 1025: 18: 75.0 Hz	-2.85703e-7	9.8581e-7	5.43798e-7	
Node 1025: 19: 87.2501 Hz	2.72778e-7	9.50842e-7	6.28012e-7	
Node 1025: 20: 89.2682 Hz	2.72194e-7	9.50892e-7	6.44226e-7	
Node 1025: 21: 100.0 Hz	2.70392e-7	9.67451e-7	7.30004e-7	
Node 1025: 22: 105.754 Hz	2.68918e-7	9.83709e-7	7.73264e-7	
Node 1025: 23: 107.58 Hz	2.68291e-7	9.89459e-7	7.86395e-7	
Node 1025: 24: 125.0 Hz	2.5601e-7	1.04082e-6	8.91465e-7	
Node 1025: 25: 126.323 Hz	2.54377e-7	1.04318e-6	8.97511e-7	
Node 1025: 26: 132.804 Hz	2.44255e-7	1.04828e-6	9.22063e-7	
Node 1025: 27: 150.0 Hz	1.97633e-7	9.92889e-7	9.45282e-7	
Node 1025: 28: 150.257 Hz	1.96726e-7	9.91273e-7	9.45239e-7	
Node 1025: 29: 151.844 Hz	1.91012e-7	9.80833e-7	9.44796e-7	
Node 1025: 30: 154.968 Hz	1.79238e-7	9.58192e-7	9.43139e-7	
Node 1025: 31: 164.868 Hz	1.38536e-7	8.72791e-7	-9.33657e-7	
Node 1025: 32: 172.472 Hz	1.05479e-7	8.00086e-7	-9.24389e-7	
Node 1025: 33: 175.0 Hz	9.44063e-8	7.75681e-7	-9.21016e-7	
Node 1025: 34: 178.006 Hz	8.12796e-8	7.469e-7	-9.16715e-7	
Node 1025: 35: 182.173 Hz	6.32517e-8	7.07831e-7	-9.10001e-7	
Node 1025: 36: 183.196 Hz	5.8867e-8	6.98433e-7	-9.08178e-7	
Node 1025: 37: 191.569 Hz	2.39325e-8	6.25409e-7	-8.89629e-7	
Node 1025: 38: 200.0 Hz	9.63446e-9	5.60473e-7	-8.62263e-7	
Node 1025: 39: 209.144 Hz	4.19907e-8	5.01439e-7	-8.20702e-7	
Node 1025: 40: 217.491 Hz	6.82951e-8	4.5843e-7	-7.7231e-7	
Node 1025: 41: 224.746 Hz	8.83475e-8	4.29214e-7	-7.23729e-7	
Node 1025: 42: 225.0 Hz	8.90031e-8	4.2832e-7	-7.2194e-7	
Node 1025: 43: 232.775 Hz	-1.0754e-7	4.04843e-7	-6.65308e-7	
Node 1025: 44: 247.769 Hz	-1.35782e-7	3.7685e-7	-5.52272e-7	
Node 1025: 45: 249.996 Hz	-1.39239e-7	3.74137e-7	-5.35791e-7	
Node 1025: 46: 250.0 Hz	-1.39244e-7	3.74133e-7	-5.35764e-7	
Node 1025: 47: 254.384 Hz	-1.4556e-7	3.69575e-7	-5.03945e-7	
Node 1025: 48: 257.877 Hz	-1.50159e-7	3.66561e-7	-4.79311e-7	
Node 1025: 49: 261.992 Hz	-1.55117e-7	3.63561e-7	-4.51261e-7	
Node 1025: 50: 268.384 Hz	-1.61912e-7	3.59748e-7	-4.10028e-7	
Node 1025: 51: 275.0 Hz	-1.67872e-7	3.56444e-7	-3.70612e-7	
Node 1025: 52: 286.723 Hz	-1.75943e-7	3.50957e-7	-3.09302e-7	
Node 1025: 53: 290.897 Hz	-1.78074e-7	3.4885e-7	-2.90082e-7	
Node 1025: 54: 300.0 Hz	-1.81376e-7	3.43581e-7	-2.52696e-7	
Node 1025: 55: 302.805 Hz	-1.82023e-7	3.41721e-7	-2.42377e-7	
Node 1025: 56: 305.502 Hz	-1.82481e-7	3.39811e-7	-2.32966e-7	
Node 1025: 57: 307.079 Hz	-1.82675e-7	3.38636e-7	-2.27688e-7	
Node 1025: 58: 314.94 Hz	-1.8284e-7	3.3211e-7	-2.03787e-7	
Node 1025: 59: 318.341 Hz	-1.82508e-7	3.28927e-7	-1.9463e-7	
Node 1025: 60: 322.948 Hz	-1.81691e-7	3.24267e-7	-1.83316e-7	
Node 1025: 61: 325.0 Hz	-1.81196e-7	3.22062e-7	-1.78663e-7	
Node 1025: 62: 327.561 Hz	-1.8047e-7	3.19202e-7	-1.73183e-7	
Node 1025: 63: 350.0 Hz	-1.69887e-7	2.8964e-7	-1.39112e-7	
Node 1025: 64: 358.727 Hz	-1.64345e-7	2.76556e-7	-1.31631e-7	
Node 1025: 65: 363.981 Hz	-1.60811e-7	2.68467e-7	-1.28357e-7	
Node 1025: 66: 371.469 Hz	-1.55654e-7	2.56848e-7	-1.25014e-7	
Node 1025: 67: 375.0 Hz	-1.53211e-7	2.51386e-7	-1.2389e-7	
Node 1025: 68: 377.132 Hz	-1.51741e-7	2.48107e-7	-1.23332e-7	
Node 1025: 69: 395.201 Hz	-1.39849e-7	2.21519e-7	-1.21213e-7	
Node 1025: 70: 400.0 Hz	-1.3696e-7	2.14984e-7	-1.21166e-7	
Node 1025: 71: 413.426 Hz	-1.29695e-7	1.98245e-7	-1.21544e-7	
Node 1025: 72: 425.0 Hz	-1.24489e-7	1.85798e-7	-1.22111e-7	
Node 1025: 73: 431.201 Hz	-1.2211e-7	1.79896e-7	-1.22423e-7	
Node 1025: 74: 436.68 Hz	-1.20239e-7	1.75113e-7	-1.22688e-7	
Node 1025: 75: 439.133 Hz	-1.19469e-7	1.73099e-7	-1.22801e-7	
Node 1025: 76: 440.071 Hz	-1.19186e-7	1.72349e-7	-1.22844e-7	
Node 1025: 77: 450.0 Hz	-1.16538e-7	1.65072e-7	-1.23268e-7	
Node 1025: 78: 459.204 Hz	-1.14616e-7	1.59324e-7	-1.23627e-7	
Node 1025: 79: 468.186 Hz	-1.13174e-7	1.54531e-7	-1.23961e-7	
Node 1025: 80: 475.0 Hz	-1.12328e-7	1.51368e-7	-1.24215e-7	
Node 1025: 81: 489.777 Hz	-1.111e-7	1.4568e-7	-1.24791e-7	
Node 1025: 82: 500.0 Hz	-1.10631e-7	1.42504e-7	-1.25221e-7	
Node 1025: 83: 517.326 Hz	-1.10298e-7	1.38136e-7	-1.25986e-7	
Node 1025: 84: 520.232 Hz	-1.10279e-7	1.37498e-7	-1.26115e-7	
Node 1025: 85: 521.341 Hz	-1.10273e-7	1.3726e-7	-1.26164e-7	
Node 1025: 86: 525.0 Hz	-1.10261e-7	1.36494e-7	-1.26323e-7	
Node 1025: 87: 538.731 Hz	-1.10253e-7	1.33835e-7	-1.26878e-7	
Node 1025: 88: 544.009 Hz	-1.10246e-7	1.32875e-7	-1.27063e-7	
Node 1025: 89: 550.0 Hz	-1.10221e-7	1.31809e-7	-1.27246e-7	
Node 1025: 90: 557.978 Hz	-1.10145e-7	1.30408e-7	-1.27436e-7	
Node 1025: 91: 575.0 Hz	-1.0974e-7	1.27388e-7	-1.27572e-7	
Node 1025: 92: 599.258 Hz	-1.08366e-7	1.22721e-7	-1.26918e-7	
Node 1025: 93: 600.0 Hz	-1.08307e-7	1.22568e-7	-1.2688e-7	
Node 1025: 94: 609.776 Hz	1.07429e-7	1.20489e-7	-1.26255e-7	
Node 1025: 95: 617.622 Hz	1.06588e-7	1.18728e-7	-1.25592e-7	
Node 1025: 96: 625.0 Hz	1.05688e-7	1.16992e-7	-1.24831e-7	
Node 1025: 97: 628.013 Hz	1.0529e-7	1.1626e-7	-1.24481e-7	
Node 1025: 98: 638.223 Hz	1.03819e-7	1.13684e-7	-1.23125e-7	
Node 1025: 99: 643.334 Hz	1.03013e-7	1.12339e-7	-1.22346e-7	
Node 1025: 100: 650.0 Hz	1.01896e-7	1.10529e-7	-1.2123e-7	
Node 1025: 101: 661.025 Hz	9.98994e-8	1.07406e-7	-1.1914e-7	
Node 1025: 102: 675.0 Hz	9.71326e-8	1.03233e-7	-1.1607e-7	
Node 1025: 103: 687.294 Hz	9.45202e-8	9.93898e-8	-1.1301e-7	
Node 1025: 104: 697.3 Hz	9.22975e-8	9.61657e-8	-1.10298e-7	
Node 1025: 105: 700.0 Hz	9.16855e-8	9.52831e-8	-1.09536e-7	
Node 1025: 106: 709.929 Hz	8.93994e-8	9.20011e-8	-1.06631e-7	
Node 1025: 107: 722.389 Hz	8.64708e-8	8.7822e-8	-1.02793e-7	
Node 1025: 108: 725.0 Hz	8.58514e-8	8.69409e-8	-1.01966e-7	
Node 1025: 109: 736.09 Hz	8.32075e-8	8.31895e-8	-9.83852e-8	
Node 1025: 110: 743.994 Hz	8.13177e-8	8.05168e-8	-9.57807e-8	
Node 1025: 111: 750.0 Hz	7.98829e-8	7.84927e-8	-9.37821e-8	
Node 1025: 112: 754.932 Hz	7.87072e-8	7.68376e-8	-9.21328e-8	
Node 1025: 113: 762.145 Hz	7.69947e-8	7.44329e-8	-8.97145e-8	
Node 1025: 114: 774.128 Hz	7.41758e-8	7.0493e-8	-8.5703e-8	
Node 1025: 115: 775.0 Hz	7.39722e-8	7.02094e-8	-8.54122e-8	
Node 1025: 116: 785.187 Hz	7.16132e-8	6.69357e-8	-8.2037e-8	
Node 1025: 117: 800.0 Hz	6.82551e-8	6.23177e-8	-7.72292e-8	
Node 1025: 118: 814.223 Hz	6.51253e-8	5.80687e-8	-7.27693e-8	
Node 1025: 119: 825.0 Hz	6.28229e-8	5.49835e-8	-6.9516e-8	
Node 1025: 120: 826.076 Hz	6.25964e-8	5.4682e-8	-6.91977e-8	
Node 1025: 121: 850.0 Hz	5.77329e-8	4.83088e-8	-6.24552e-8	
Node 1025: 122: 872.03 Hz	5.35569e-8	4.30097e-8	-5.68475e-8	
Node 1025: 123: 875.0 Hz	5.30168e-8	4.23374e-8	-5.61369e-8	
Node 1025: 124: 894.352 Hz	4.96308e-8	3.81974e-8	-5.17686e-8	
Node 1025: 125: 900.0 Hz	4.86861e-8	3.70664e-8	-5.0578e-8	
Node 1025: 126: 917.093 Hz	4.59456e-8	3.38481e-8	-4.71984e-8	
Node 1025: 127: 925.0 Hz	4.47371e-8	3.24598e-8	-4.57446e-8	
Node 1025: 128: 930.194 Hz	4.39634e-8	3.15812e-8	-4.48259e-8	
Node 1025: 129: 950.0 Hz	4.1155e-8	2.84622e-8	-4.15728e-8	
Node 1025: 130: 975.0 Hz	3.79172e-8	2.50085e-8	-3.79844e-8	
Node 1025: 131: 1000.0 Hz	3.49973e-8	2.2032e-8	-3.48986e-8	
Node 1754: 1: 0.0 Hz	-3.50621e-7	2.24619e-6	-1.35225e-6	
Node 1754: 2: 14.8424 Hz	-4.14433e-7	2.72361e-6	-1.45434e-6	
Node 1754: 3: 16.6339 Hz	-4.32543e-7	2.86169e-6	-1.48113e-6	
Node 1754: 4: 18.1274 Hz	-4.497e-7	2.99412e-6	-1.50542e-6	
Node 1754: 5: 25.0 Hz	-5.46401e-7	3.80546e-6	-1.60891e-6	
Node 1754: 6: 25.7088 Hz	-5.56154e-7	3.90183e-6	-1.61307e-6	
Node 1754: 7: 35.5784 Hz	-4.68499e-7	4.43949e-6	-1.14674e-6	
Node 1754: 8: 37.2406 Hz	-3.95284e-7	4.25628e-6	-9.90606e-7	
Node 1754: 9: 39.8727 Hz	-2.75496e-7	3.86899e-6	-8.03522e-7	
Node 1754: 10: 42.1489 Hz	-2.06961e-7	3.51142e-6	-7.43924e-7	
Node 1754: 11: 43.4527 Hz	-1.98176e-7	3.31715e-6	-7.48194e-7	
Node 1754: 12: 47.2364 Hz	-2.69862e-7	2.83412e-6	-8.27153e-7	
Node 1754: 13: 50.0 Hz	-3.43991e-7	2.55991e-6	-8.8524e-7	
Node 1754: 14: 51.4775 Hz	-3.80277e-7	2.43718e-6	-9.0722e-7	
Node 1754: 15: 61.6258 Hz	5.20229e-7	-1.9022e-6	8.70134e-7	
Node 1754: 16: 62.6836 Hz	5.23852e-7	-1.867e-6	8.52224e-7	
Node 1754: 17: 73.0068 Hz	4.93554e-7	-1.6232e-6	6.66235e-7	
Node 1754: 18: 75.0 Hz	4.81014e-7	-1.59129e-6	6.39445e-7	
Node 1754: 19: 87.2501 Hz	-4.06886e-7	1.46862e-6	5.65417e-7	
Node 1754: 20: 89.2682 Hz	-3.96795e-7	1.45805e-6	5.64361e-7	
Node 1754: 21: 100.0 Hz	-3.54194e-7	1.43237e-6	5.85567e-7	
Node 1754: 22: 105.754 Hz	-3.37477e-7	1.43364e-6	6.07598e-7	
Node 1754: 23: 107.58 Hz	-3.32811e-7	1.43545e-6	6.15353e-7	
Node 1754: 24: 125.0 Hz	-2.95999e-7	1.45955e-6	6.91763e-7	
Node 1754: 25: 126.323 Hz	-2.93363e-7	1.46004e-6	6.96998e-7	
Node 1754: 26: 132.804 Hz	-2.79993e-7	1.45497e-6	7.20081e-7	
Node 1754: 27: 150.0 Hz	-2.39237e-7	1.35957e-6	7.57703e-7	
Node 1754: 28: 150.257 Hz	-2.38585e-7	1.35721e-6	7.58036e-7	
Node 1754: 29: 151.844 Hz	-2.3455e-7	1.34206e-6	7.59986e-7	
Node 1754: 30: 154.968 Hz	-2.26606e-7	1.30983e-6	7.63347e-7	
Node 1754: 31: 164.868 Hz	2.02135e-7	1.19246e-6	-7.71222e-7	
Node 1754: 32: 172.472 Hz	1.84773e-7	1.09544e-6	-7.75325e-7	
Node 1754: 33: 175.0 Hz	1.79322e-7	1.06324e-6	-7.76236e-7	
Node 1754: 34: 178.006 Hz	1.7304e-7	1.02546e-6	-7.76894e-7	
Node 1754: 35: 182.173 Hz	1.64664e-7	9.74394e-7	-7.76807e-7	
