	DX	DY	DZ	
	m	m	m	
Node 1025: 1: 0.0 Hz	1.0576e-5	3.18691e-6	7.8325e-6	
Node 1025: 2: 14.8424 Hz	1.13331e-5	3.05299e-6	9.51535e-6	
Node 1025: 3: 16.6339 Hz	1.15404e-5	3.06224e-6	9.99541e-6	
Node 1025: 4: 18.1274 Hz	1.17369e-5	3.10036e-6	1.04543e-5	
Node 1025: 5: 25.0 Hz	1.301e-5	4.18856e-6	1.32879e-5	
Node 1025: 6: 25.7088 Hz	1.31883e-5	4.4383e-6	1.36366e-5	
Node 1025: 7: 35.5784 Hz	1.67134e-5	9.68731e-6	1.7229e-5	
Node 1025: 8: 37.2406 Hz	1.7175e-5	1.02357e-5	1.7264e-5	
Node 1025: 9: 39.8727 Hz	1.74174e-5	1.05059e-5	1.69983e-5	
Node 1025: 10: 42.1489 Hz	1.70437e-5	1.01726e-5	1.65255e-5	
Node 1025: 11: 43.4527 Hz	1.65953e-5	9.79328e-6	1.61768e-5	
Node 1025: 12: 47.2364 Hz	1.46131e-5	8.2604e-6	1.4956e-5	
Node 1025: 13: 50.0 Hz	1.28784e-5	7.04198e-6	1.39893e-5	
Node 1025: 14: 51.4775 Hz	1.1955e-5	6.42955e-6	1.34845e-5	
Node 1025: 15: 61.6258 Hz	-7.00011e-6	3.49406e-6	1.07536e-5	
Node 1025: 16: 62.6836 Hz	-6.64238e-6	3.30034e-6	1.05448e-5	
Node 1025: 17: 73.0068 Hz	-4.3314e-6	2.08777e-6	9.01709e-6	
Node 1025: 18: 75.0 Hz	-4.06675e-6	1.95457e-6	8.80614e-6	
Node 1025: 19: 87.2501 Hz	-3.03359e-6	1.46006e-6	7.9182e-6	
Node 1025: 20: 89.2682 Hz	-2.90894e-6	1.40814e-6	7.82176e-6	
Node 1025: 21: 100.0 Hz	-2.29235e-6	1.24149e-6	7.44201e-6	
Node 1025: 22: 105.754 Hz	-1.99147e-6	1.24288e-6	7.30111e-6	
Node 1025: 23: 107.58 Hz	-1.90241e-6	1.25719e-6	7.26304e-6	
Node 1025: 24: 125.0 Hz	1.26732e-6	1.66228e-6	-7.0171e-6	
Node 1025: 25: 126.323 Hz	1.2377e-6	1.70807e-6	-7.00482e-6	
