	DX	DY	DZ	
	m	m	m	
Node 60: 1: 0.0 Hz	2.53536e-7	8.49514e-6	-2.97827e-6	
Node 60: 2: 25.0 Hz	4.83602e-7	9.51011e-6	-2.99833e-6	
Node 60: 3: 28.3646 Hz	5.57402e-7	9.82729e-6	-3.00494e-6	
Node 60: 4: 50.0 Hz	1.48597e-6	1.30364e-5	-3.17419e-6	
Node 60: 5: 50.1598 Hz	1.49644e-6	1.30632e-5	-3.17757e-6	
Node 60: 6: 67.9919 Hz	2.62606e-6	1.35143e-5	-3.93365e-6	
Node 60: 7: 69.454 Hz	2.67722e-6	1.32272e-5	-4.00872e-6	
Node 60: 8: 75.0 Hz	2.78803e-6	1.18555e-5	-4.25939e-6	
Node 60: 9: 80.5485 Hz	2.80124e-6	1.03429e-5	-4.44704e-6	
Node 60: 10: 89.394 Hz	2.73033e-6	8.26322e-6	-4.63677e-6	
Node 60: 11: 100.0 Hz	2.59285e-6	6.59229e-6	-4.71341e-6	
Node 60: 12: 120.237 Hz	2.17033e-6	-5.06095e-6	-4.3119e-6	
Node 60: 13: 125.0 Hz	2.04569e-6	-4.836e-6	-4.13521e-6	
Node 60: 14: 129.311 Hz	-1.93363e-6	-4.64772e-6	3.96926e-6	
Node 60: 15: 142.442 Hz	-1.63237e-6	-4.13909e-6	3.50366e-6	
Node 60: 16: 146.936 Hz	-1.54794e-6	-3.98756e-6	3.36751e-6	
Node 60: 17: 150.0 Hz	-1.49549e-6	-3.89117e-6	3.28071e-6	
Node 60: 18: 166.486 Hz	-1.26401e-6	-3.46278e-6	2.86649e-6	
Node 60: 19: 175.0 Hz	-1.1663e-6	-3.29057e-6	2.68052e-6	
Node 60: 20: 184.177 Hz	-1.07464e-6	-3.13228e-6	2.51496e-6	
Node 60: 21: 197.232 Hz	-9.72804e-7	-2.94605e-6	2.37506e-6	
Node 60: 22: 200.0 Hz	-9.56052e-7	-2.9118e-6	2.36228e-6	
Node 60: 23: 204.712 Hz	-9.31602e-7	-2.85748e-6	2.35417e-6	
Node 60: 24: 212.011 Hz	-9.03819e-7	-2.78307e-6	2.37327e-6	
Node 60: 25: 214.284 Hz	-8.97615e-7	-2.76227e-6	2.38625e-6	
Node 60: 26: 217.891 Hz	-8.90069e-7	-2.73151e-6	2.41278e-6	
Node 60: 27: 225.0 Hz	-8.83002e-7	-2.6787e-6	2.48287e-6	
Node 60: 28: 250.0 Hz	-9.23322e-7	-2.56099e-6	2.82294e-6	
Node 60: 29: 253.857 Hz	-9.35869e-7	-2.54936e-6	2.87774e-6	
Node 60: 30: 256.009 Hz	-9.43321e-7	-2.54329e-6	2.90775e-6	
Node 60: 31: 271.668 Hz	-1.00313e-6	-2.50245e-6	3.1046e-6	
Node 60: 32: 275.0 Hz	-1.01625e-6	-2.49338e-6	3.13983e-6	
Node 60: 33: 278.879 Hz	-1.0313e-6	-2.48214e-6	3.17717e-6	
Node 60: 34: 291.043 Hz	-1.075e-6	-2.44007e-6	3.26564e-6	
Node 60: 35: 300.0 Hz	-1.1018e-6	-2.40063e-6	3.30066e-6	
