	DX	DY	DZ	
	m	m	m	
Node 1025: 1: 0.0 Hz	1.07733e-5	2.15083e-6	1.39839e-5	
Node 1025: 2: 14.8424 Hz	1.15923e-5	2.03947e-6	1.55485e-5	
Node 1025: 3: 16.6339 Hz	1.1817e-5	2.06418e-6	1.59801e-5	
Node 1025: 4: 18.1274 Hz	1.20305e-5	2.12279e-6	1.63855e-5	
Node 1025: 5: 25.0 Hz	1.34173e-5	3.39949e-6	1.86772e-5	
Node 1025: 6: 25.7088 Hz	1.36119e-5	3.66855e-6	1.89239e-5	
Node 1025: 7: 35.5784 Hz	1.74668e-5	9.04208e-6	1.95136e-5	
Node 1025: 8: 37.2406 Hz	1.79756e-5	9.62919e-6	1.88338e-5	
Node 1025: 9: 39.8727 Hz	1.82654e-5	9.99544e-6	1.74633e-5	
Node 1025: 10: 42.1489 Hz	1.79079e-5	9.77606e-6	1.61084e-5	
Node 1025: 11: 43.4527 Hz	1.74608e-5	9.46984e-6	1.52947e-5	
Node 1025: 12: 47.2364 Hz	1.54601e-5	8.14383e-6	1.29101e-5	
Node 1025: 13: 50.0 Hz	1.36984e-5	7.04224e-6	1.12677e-5	
Node 1025: 14: 51.4775 Hz	1.27573e-5	6.4754e-6	1.04563e-5	
Node 1025: 15: 61.6258 Hz	7.60991e-6	3.59454e-6	6.32745e-6	
Node 1025: 16: 62.6836 Hz	7.22149e-6	3.3891e-6	6.02103e-6	
Node 1025: 17: 73.0068 Hz	4.47852e-6	1.96266e-6	3.79651e-6	
Node 1025: 18: 75.0 Hz	4.10982e-6	1.77406e-6	3.48708e-6	
Node 1025: 19: 87.2501 Hz	2.49411e-6	9.7227e-7	2.1303e-6	
Node 1025: 20: 89.2682 Hz	2.30521e-6	8.83618e-7	1.97726e-6	
Node 1025: 21: 100.0 Hz	1.53699e-6	5.50937e-7	1.41153e-6	
Node 1025: 22: 105.754 Hz	1.24676e-6	4.47845e-7	1.25226e-6	
Node 1025: 23: 107.58 Hz	1.16772e-6	4.23738e-7	1.21915e-6	
Node 1025: 24: 125.0 Hz	6.37017e-7	3.31595e-7	1.19812e-6	
Node 1025: 25: 126.323 Hz	6.09614e-7	3.30525e-7	1.21076e-6	
Node 1025: 26: 132.804 Hz	4.96407e-7	3.28861e-7	1.28673e-6	
Node 1025: 27: 150.0 Hz	3.5439e-7	3.32276e-7	-1.53863e-6	
Node 1025: 28: 150.257 Hz	3.53979e-7	3.32447e-7	-1.54253e-6	
Node 1025: 29: 151.844 Hz	3.52518e-7	3.33692e-7	-1.56662e-6	
Node 1025: 30: 154.968 Hz	3.5489e-7	3.37262e-7	-1.61367e-6	
Node 1025: 31: 164.868 Hz	4.02348e-7	3.62319e-7	-1.75651e-6	
Node 1025: 32: 172.472 Hz	4.69952e-7	3.98682e-7	-1.85477e-6	
Node 1025: 33: 175.0 Hz	4.96729e-7	4.1401e-7	-1.88426e-6	
Node 1025: 34: 178.006 Hz	5.30783e-7	4.34103e-7	-1.91684e-6	
Node 1025: 35: 182.173 Hz	5.81324e-7	4.64885e-7	-1.95698e-6	
