	DX	DY	DZ	
	m	m	m	
Node 60: 1: 0.0 Hz	1.49351e-5	3.70294e-5	-9.67224e-6	
Node 60: 2: 25.0 Hz	1.61203e-5	4.20692e-5	-1.02194e-5	
Node 60: 3: 28.3646 Hz	1.64813e-5	4.3658e-5	-1.03829e-5	
Node 60: 4: 50.0 Hz	1.97407e-5	6.02933e-5	-1.18041e-5	
Node 60: 5: 50.1598 Hz	1.97624e-5	6.04398e-5	-1.18134e-5	
Node 60: 6: 67.9919 Hz	1.83442e-5	6.54375e-5	-1.14628e-5	
Node 60: 7: 69.454 Hz	1.78265e-5	6.42835e-5	-1.13224e-5	
Node 60: 8: 75.0 Hz	1.56738e-5	5.83549e-5	-1.08349e-5	
Node 60: 9: 80.5485 Hz	1.36647e-5	5.13789e-5	-1.05631e-5	
Node 60: 10: 89.394 Hz	1.14841e-5	4.10463e-5	-1.06298e-5	
Node 60: 11: 100.0 Hz	1.03676e-5	3.13935e-5	-1.10489e-5	
Node 60: 12: 120.237 Hz	9.25193e-6	1.91405e-5	-1.07022e-5	
Node 60: 13: 125.0 Hz	8.82503e-6	-1.71336e-5	-1.02692e-5	
Node 60: 14: 129.311 Hz	8.38433e-6	-1.55729e-5	-9.79897e-6	
Node 60: 15: 142.442 Hz	6.92485e-6	-1.21007e-5	-8.1918e-6	
Node 60: 16: 146.936 Hz	6.4418e-6	-1.12638e-5	-7.65352e-6	
Node 60: 17: 150.0 Hz	6.12691e-6	-1.07706e-5	-7.30124e-6	
Node 60: 18: 166.486 Hz	4.67289e-6	-8.89083e-6	-5.64405e-6	
Node 60: 19: 175.0 Hz	4.07282e-6	-8.27018e-6	-4.92855e-6	
Node 60: 20: 184.177 Hz	3.52134e-6	-7.77486e-6	-4.23958e-6	
Node 60: 21: 197.232 Hz	2.87727e-6	-7.2894e-6	-3.38202e-6	
Node 60: 22: 200.0 Hz	2.75896e-6	7.21067e-6	-3.21744e-6	
Node 60: 23: 204.712 Hz	2.57056e-6	7.09111e-6	-2.95094e-6	
Node 60: 24: 212.011 Hz	2.30859e-6	6.93432e-6	-2.57238e-6	
Node 60: 25: 214.284 Hz	2.23387e-6	6.89097e-6	-2.46305e-6	
Node 60: 26: 217.891 Hz	2.12155e-6	6.82631e-6	-2.29791e-6	
