	DX	DY	DZ	
	m	m	m	
Node 60: 1: 0.0 Hz	4.98589e-7	9.37521e-6	-4.92387e-6	
Node 60: 2: 25.0 Hz	4.85317e-7	1.03782e-5	-4.96001e-6	
Node 60: 3: 28.3646 Hz	5.10491e-7	1.06896e-5	-4.97132e-6	
Node 60: 4: 50.0 Hz	1.43865e-6	1.37485e-5	-5.18322e-6	
Node 60: 5: 50.1598 Hz	1.45176e-6	1.37727e-5	-5.18696e-6	
Node 60: 6: 67.9919 Hz	3.06061e-6	1.3722e-5	-5.98796e-6	
Node 60: 7: 69.454 Hz	3.15332e-6	1.33849e-5	-6.06735e-6	
Node 60: 8: 75.0 Hz	3.39954e-6	1.18425e-5	-6.33238e-6	
Node 60: 9: 80.5485 Hz	3.50956e-6	1.02035e-5	-6.52814e-6	
Node 60: 10: 89.394 Hz	3.52723e-6	8.01797e-6	-6.7107e-6	
Node 60: 11: 100.0 Hz	3.42142e-6	-6.33007e-6	-6.73027e-6	
Node 60: 12: 120.237 Hz	2.89391e-6	-4.81484e-6	-6.03666e-6	
Node 60: 13: 125.0 Hz	2.72489e-6	-4.57146e-6	-5.77342e-6	
Node 60: 14: 129.311 Hz	2.5714e-6	-4.35936e-6	-5.53188e-6	
Node 60: 15: 142.442 Hz	-2.15266e-6	3.75537e-6	4.86896e-6	
Node 60: 16: 146.936 Hz	-2.03307e-6	3.56815e-6	4.67598e-6	
Node 60: 17: 150.0 Hz	-1.95798e-6	3.44723e-6	4.55255e-6	
Node 60: 18: 166.486 Hz	-1.6174e-6	2.8847e-6	3.9621e-6	
Node 60: 19: 175.0 Hz	-1.46971e-6	2.64029e-6	3.7027e-6	
Node 60: 20: 184.177 Hz	-1.32993e-6	2.40112e-6	3.47954e-6	
Node 60: 21: 197.232 Hz	-1.17236e-6	2.09511e-6	3.29939e-6	
Node 60: 22: 200.0 Hz	-1.14578e-6	-2.03492e-6	3.2832e-6	
Node 60: 23: 204.712 Hz	-1.10609e-6	-1.93611e-6	3.27205e-6	
Node 60: 24: 212.011 Hz	-1.05795e-6	-1.79202e-6	3.29045e-6	
Node 60: 25: 214.284 Hz	-1.04609e-6	-1.74935e-6	3.30358e-6	
Node 60: 26: 217.891 Hz	-1.0301e-6	-1.68372e-6	3.33026e-6	
Node 60: 27: 225.0 Hz	-1.00788e-6	-1.56159e-6	3.39892e-6	
Node 60: 28: 250.0 Hz	-9.98458e-7	-1.19444e-6	3.69538e-6	
Node 60: 29: 253.857 Hz	-1.00254e-6	-1.14406e-6	3.73706e-6	
Node 60: 30: 256.009 Hz	-1.00509e-6	-1.11644e-6	3.75903e-6	
Node 60: 31: 271.668 Hz	-1.02515e-6	-9.23886e-7	3.88317e-6	
Node 60: 32: 275.0 Hz	-1.02888e-6	-8.84494e-7	3.90013e-6	
Node 60: 33: 278.879 Hz	-1.03264e-6	-8.39315e-7	3.91521e-6	
Node 60: 34: 291.043 Hz	-1.0389e-6	-7.03044e-7	3.92874e-6	
Node 60: 35: 300.0 Hz	-1.037e-6	-6.09771e-7	3.90588e-6	
Node 60: 36: 302.006 Hz	-1.03577e-6	-5.89974e-7	3.89709e-6	
Node 60: 37: 309.966 Hz	-1.02797e-6	-5.16299e-7	3.84989e-6	
Node 60: 38: 314.893 Hz	-1.02094e-6	-4.75241e-7	3.81159e-6	
Node 60: 39: 325.0 Hz	-1.00197e-6	-4.03978e-7	3.71457e-6	
Node 60: 40: 332.746 Hz	-9.84095e-7	-3.62432e-7	3.62675e-6	
Node 60: 41: 350.0 Hz	-9.38225e-7	-3.09596e-7	3.40521e-6	
Node 60: 42: 352.215 Hz	-9.32059e-7	-3.06113e-7	3.37534e-6	
Node 60: 43: 367.211 Hz	-8.9077e-7	-2.94339e-7	3.17231e-6	
Node 60: 44: 375.0 Hz	-8.70443e-7	-2.92613e-7	3.06935e-6	
Node 60: 45: 400.0 Hz	-8.14914e-7	-2.8771e-7	2.77012e-6	
Node 60: 46: 417.262 Hz	-7.86707e-7	-2.80126e-7	2.60057e-6	
Node 60: 47: 425.0 Hz	-7.76652e-7	-2.76182e-7	2.53499e-6	
Node 60: 48: 441.484 Hz	-7.59729e-7	-2.69354e-7	2.41492e-6	
Node 60: 49: 450.0 Hz	-7.52904e-7	-2.67957e-7	2.36193e-6	
Node 60: 50: 475.0 Hz	7.37134e-7	2.78504e-7	-2.23121e-6	
Node 60: 51: 490.708 Hz	7.28048e-7	2.97881e-7	-2.15981e-6	
Node 60: 52: 500.0 Hz	7.22182e-7	3.13364e-7	-2.11882e-6	
Node 60: 53: 508.204 Hz	7.16444e-7	3.28932e-7	-2.0826e-6	
Node 60: 54: 522.299 Hz	7.0498e-7	3.58451e-7	-2.01914e-6	
Node 60: 55: 523.017 Hz	7.04335e-7	3.60017e-7	-2.01584e-6	
Node 60: 56: 525.0 Hz	7.0252e-7	3.64357e-7	-2.00671e-6	
Node 60: 57: 550.0 Hz	6.75378e-7	4.19571e-7	-1.88691e-6	
Node 60: 58: 575.0 Hz	6.40643e-7	4.70745e-7	-1.75987e-6	
Node 60: 59: 581.332 Hz	6.30815e-7	4.82521e-7	-1.72706e-6	
Node 60: 60: 600.0 Hz	5.99974e-7	5.13954e-7	-1.63021e-6	
Node 60: 61: 602.059 Hz	5.96433e-7	5.17109e-7	-1.61958e-6	
Node 60: 62: 613.672 Hz	5.76077e-7	5.33736e-7	-1.56011e-6	
Node 60: 63: 618.756 Hz	5.67004e-7	5.4039e-7	-1.5344e-6	
Node 60: 64: 625.0 Hz	5.55767e-7	5.48047e-7	-1.50316e-6	
Node 60: 65: 650.0 Hz	5.10394e-7	5.73176e-7	-1.38268e-6	
Node 60: 66: 651.206 Hz	5.08211e-7	5.74171e-7	-1.37709e-6	
Node 60: 67: 668.491 Hz	4.77224e-7	5.86321e-7	-1.29924e-6	
Node 60: 68: 675.0 Hz	4.65754e-7	5.89898e-7	-1.27114e-6	
Node 60: 69: 697.65 Hz	4.27003e-7	5.98256e-7	-1.17863e-6	
Node 60: 70: 700.0 Hz	4.23099e-7	5.98769e-7	-1.16951e-6	
Node 60: 71: 723.929 Hz	3.84724e-7	6.00333e-7	-1.0816e-6	
Node 60: 72: 725.0 Hz	3.83066e-7	6.00251e-7	-1.07787e-6	
Node 60: 73: 727.004 Hz	3.79978e-7	6.00063e-7	-1.07094e-6	
Node 60: 74: 750.0 Hz	3.45861e-7	5.9481e-7	-9.95719e-7	
Node 60: 75: 754.821 Hz	3.39011e-7	5.93013e-7	-9.80903e-7	
Node 60: 76: 771.47 Hz	3.16147e-7	5.85073e-7	-9.32132e-7	
Node 60: 77: 775.0 Hz	3.11455e-7	5.83061e-7	-9.22251e-7	
Node 60: 78: 791.948 Hz	2.89678e-7	5.71931e-7	-8.76912e-7	
Node 60: 79: 797.615 Hz	2.82668e-7	5.67705e-7	-8.62492e-7	
Node 60: 80: 800.0 Hz	2.79758e-7	5.65856e-7	-8.56531e-7	
Node 60: 81: 825.0 Hz	2.50689e-7	5.4428e-7	-7.97619e-7	
Node 60: 82: 826.491 Hz	2.49037e-7	5.4288e-7	-7.943e-7	
Node 60: 83: 850.0 Hz	2.2419e-7	5.19544e-7	-7.44638e-7	
Node 60: 84: 857.624 Hz	2.16613e-7	5.1156e-7	-7.29541e-7	
Node 60: 85: 875.0 Hz	2.00205e-7	4.92859e-7	-6.96816e-7	
Node 60: 86: 894.221 Hz	1.83424e-7	4.71704e-7	-6.6314e-7	
Node 60: 87: 900.0 Hz	1.78652e-7	4.65308e-7	-6.53494e-7	
Node 60: 88: 925.0 Hz	1.59413e-7	4.37776e-7	-6.14112e-7	
Node 60: 89: 944.918 Hz	1.4564e-7	4.16303e-7	-5.8524e-7	
Node 60: 90: 950.0 Hz	1.42335e-7	4.10925e-7	-5.78201e-7	
Node 60: 91: 975.0 Hz	1.27238e-7	3.8521e-7	-5.45363e-7	
Node 60: 92: 1000.0 Hz	1.1393e-7	3.60908e-7	-5.15258e-7	
Node 2422: 1: 0.0 Hz	3.2045e-6	1.24681e-5	7.73189e-6	
Node 2422: 2: 25.0 Hz	3.78903e-6	1.38407e-5	7.90898e-6	
Node 2422: 3: 28.3646 Hz	3.97654e-6	1.42677e-5	7.9606e-6	
Node 2422: 4: 50.0 Hz	6.07605e-6	1.8496e-5	8.41129e-6	
Node 2422: 5: 50.1598 Hz	6.09639e-6	1.853e-5	8.41467e-6	
Node 2422: 6: 67.9919 Hz	7.39835e-6	1.86335e-5	8.63003e-6	
Node 2422: 7: 69.454 Hz	7.34271e-6	1.81895e-5	8.64093e-6	
Node 2422: 8: 75.0 Hz	6.93552e-6	1.61359e-5	8.70451e-6	
Node 2422: 9: 80.5485 Hz	6.35986e-6	1.39292e-5	8.80784e-6	
Node 2422: 10: 89.394 Hz	5.42261e-6	1.09465e-5	9.00135e-6	
Node 2422: 11: 100.0 Hz	4.46468e-6	-8.58299e-6	-9.10069e-6	
Node 2422: 12: 120.237 Hz	3.00092e-6	-6.38881e-6	-8.24207e-6	
Node 2422: 13: 125.0 Hz	2.71626e-6	-6.04758e-6	-7.86598e-6	
Node 2422: 14: 129.311 Hz	2.48515e-6	-5.75662e-6	-7.5114e-6	
Node 2422: 15: 142.442 Hz	-1.94836e-6	4.94999e-6	6.51283e-6	
Node 2422: 16: 146.936 Hz	-1.81771e-6	4.70318e-6	6.22271e-6	
Node 2422: 17: 150.0 Hz	-1.74132e-6	4.54393e-6	6.03943e-6	
Node 2422: 18: 166.486 Hz	-1.45626e-6	3.79939e-6	5.19556e-6	
Node 2422: 19: 175.0 Hz	-1.36064e-6	3.471e-6	4.83107e-6	
Node 2422: 20: 184.177 Hz	-1.27635e-6	3.14459e-6	4.50191e-6	
Node 2422: 21: 197.232 Hz	-1.17007e-6	2.71764e-6	4.17818e-6	
Node 2422: 22: 200.0 Hz	-1.14804e-6	-2.63238e-6	4.1329e-6	
Node 2422: 23: 204.712 Hz	-1.1104e-6	-2.4916e-6	4.07387e-6	
Node 2422: 24: 212.011 Hz	-1.05158e-6	-2.28495e-6	4.02365e-6	
Node 2422: 25: 214.284 Hz	-1.03317e-6	-2.22356e-6	4.01712e-6	
Node 2422: 26: 217.891 Hz	-1.00398e-6	-2.12912e-6	4.01451e-6	
Node 2422: 27: 225.0 Hz	-9.47064e-7	-1.95374e-6	4.03293e-6	
Node 2422: 28: 250.0 Hz	-7.68355e-7	-1.4403e-6	4.23153e-6	
Node 2422: 29: 253.857 Hz	-7.45072e-7	-1.3726e-6	4.267e-6	
Node 2422: 30: 256.009 Hz	-7.32609e-7	-1.33584e-6	4.28622e-6	
Node 2422: 31: 271.668 Hz	-6.52145e-7	-1.08655e-6	4.40062e-6	
Node 2422: 32: 275.0 Hz	-6.36983e-7	-1.03714e-6	4.41679e-6	
Node 2422: 33: 278.879 Hz	-6.2001e-7	-9.81208e-7	4.43107e-6	
Node 2422: 34: 291.043 Hz	-5.70415e-7	-8.18056e-7	4.44089e-6	
Node 2422: 35: 300.0 Hz	-5.36334e-7	-7.13051e-7	4.41233e-6	
Node 2422: 36: 302.006 Hz	-5.28903e-7	-6.91768e-7	4.40179e-6	
Node 2422: 37: 309.966 Hz	-5.00028e-7	-6.16964e-7	4.34583e-6	
Node 2422: 38: 314.893 Hz	-4.82631e-7	-5.79318e-7	4.30064e-6	
Node 2422: 39: 325.0 Hz	-4.4819e-7	-5.24921e-7	4.18634e-6	
Node 2422: 40: 332.746 Hz	-4.2315e-7	-5.03587e-7	4.08289e-6	
Node 2422: 41: 350.0 Hz	-3.7282e-7	-5.02533e-7	3.82217e-6	
Node 2422: 42: 352.215 Hz	-3.66973e-7	-5.05169e-7	3.78707e-6	
Node 2422: 43: 367.211 Hz	-3.31213e-7	-5.27172e-7	3.54886e-6	
