	DX	DY	DZ	
	m	m	m	
Node 60: 73: 727.004 Hz	-3.62414e-7	-1.45114e-6	-3.71968e-7	
Node 60: 74: 750.0 Hz	-3.39613e-7	-1.37476e-6	-3.29752e-7	
Node 60: 75: 754.821 Hz	-3.34814e-7	-1.3586e-6	-3.21435e-7	
Node 60: 76: 771.47 Hz	-3.1836e-7	-1.30267e-6	-2.94138e-7	
Node 60: 77: 775.0 Hz	-3.14911e-7	-1.29082e-6	-2.88634e-7	
Node 60: 78: 791.948 Hz	-2.98633e-7	-1.2342e-6	-2.63565e-7	
Node 60: 79: 797.615 Hz	-2.93312e-7	-1.21543e-6	-2.55674e-7	
Node 60: 80: 800.0 Hz	-2.91095e-7	-1.20756e-6	-2.52426e-7	
Node 60: 81: 825.0 Hz	-2.68667e-7	-1.12655e-6	-2.20872e-7	
Node 60: 82: 826.491 Hz	-2.67379e-7	-1.12181e-6	-2.19129e-7	
Node 60: 83: 850.0 Hz	-2.47882e-7	-1.04902e-6	-1.93576e-7	
Node 60: 84: 857.624 Hz	-2.41887e-7	-1.02621e-6	-1.86029e-7	
Node 60: 85: 875.0 Hz	-2.28825e-7	-9.75838e-7	-1.7007e-7	
Node 60: 86: 894.221 Hz	-2.15337e-7	-9.22866e-7	-1.54271e-7	
Node 60: 87: 900.0 Hz	-2.11473e-7	-9.07519e-7	-1.4987e-7	
Node 60: 88: 925.0 Hz	-1.95739e-7	-8.44266e-7	-1.32513e-7	
Node 60: 89: 944.918 Hz	-1.84284e-7	-7.97486e-7	-1.20439e-7	
Node 60: 90: 950.0 Hz	-1.81506e-7	-7.86054e-7	-1.17581e-7	
Node 60: 91: 975.0 Hz	-1.68641e-7	-7.32701e-7	-1.04707e-7	
Node 60: 92: 1000.0 Hz	-1.57012e-7	-6.83928e-7	-9.35757e-8	
Node 2422: 1: 0.0 Hz	2.09699e-5	4.12441e-5	1.95982e-6	
Node 2422: 2: 25.0 Hz	2.31893e-5	4.61818e-5	2.05013e-6	
Node 2422: 3: 28.3646 Hz	2.38785e-5	4.77269e-5	2.07638e-6	
Node 2422: 4: 50.0 Hz	3.06362e-5	6.34017e-5	2.21593e-6	
Node 2422: 5: 50.1598 Hz	3.06894e-5	6.35328e-5	2.21508e-6	
Node 2422: 6: 67.9919 Hz	3.04157e-5	6.56776e-5	1.41237e-6	
Node 2422: 7: 69.454 Hz	2.96428e-5	6.42479e-5	1.28085e-6	
Node 2422: 8: 75.0 Hz	2.61078e-5	5.73784e-5	7.56679e-7	
Node 2422: 9: 80.5485 Hz	2.23269e-5	4.96922e-5	3.66486e-7	
Node 2422: 10: 89.394 Hz	1.71668e-5	3.8716e-5	9.14208e-7	
Node 2422: 11: 100.0 Hz	1.29073e-5	2.89304e-5	1.96409e-6	
