	DX	DY	DZ	
	m	m	m	
Node 60: 1: 0.0 Hz	9.08817e-6	3.1452e-5	-3.82492e-6	
Node 60: 2: 25.0 Hz	9.99202e-6	3.52316e-5	-4.20381e-6	
Node 60: 3: 28.3646 Hz	1.0271e-5	3.64153e-5	-4.32023e-6	
Node 60: 4: 50.0 Hz	1.29587e-5	4.84459e-5	-5.45393e-6	
Node 60: 5: 50.1598 Hz	1.29793e-5	4.85467e-5	-5.46307e-6	
Node 60: 6: 67.9919 Hz	1.27574e-5	5.02499e-5	-5.67413e-6	
Node 60: 7: 69.454 Hz	1.24476e-5	4.91558e-5	-5.60401e-6	
Node 60: 8: 75.0 Hz	1.10769e-5	4.38816e-5	-5.31388e-6	
Node 60: 9: 80.5485 Hz	9.70019e-6	3.79489e-5	-5.10239e-6	
Node 60: 10: 89.394 Hz	8.0647e-6	2.93833e-5	-5.09787e-6	
Node 60: 11: 100.0 Hz	7.11621e-6	2.15306e-5	-5.50823e-6	
Node 60: 12: 120.237 Hz	6.41548e-6	1.18373e-5	-6.17575e-6	
Node 60: 13: 125.0 Hz	-6.17637e-6	1.03096e-5	6.14385e-6	
Node 60: 14: 129.311 Hz	-5.91485e-6	9.14566e-6	6.04648e-6	
Node 60: 15: 142.442 Hz	-4.94196e-6	6.69739e-6	5.44912e-6	
Node 60: 16: 146.936 Hz	-4.58248e-6	6.15837e-6	5.17674e-6	
Node 60: 17: 150.0 Hz	-4.33768e-6	5.85468e-6	4.97956e-6	
Node 60: 18: 166.486 Hz	-3.11263e-6	4.78943e-6	3.86116e-6	
Node 60: 19: 175.0 Hz	-2.58628e-6	4.44006e-6	3.30989e-6	
Node 60: 20: 184.177 Hz	-2.11977e-6	4.1274e-6	2.7785e-6	
Node 60: 21: 197.232 Hz	-1.62655e-6	3.75158e-6	2.15929e-6	
Node 60: 22: 200.0 Hz	-1.54428e-6	3.68054e-6	2.04835e-6	
Node 60: 23: 204.712 Hz	-1.41932e-6	3.56621e-6	1.87443e-6	
Node 60: 24: 212.011 Hz	-1.25839e-6	3.40533e-6	1.63889e-6	
Node 60: 25: 214.284 Hz	-1.21526e-6	3.35923e-6	1.57315e-6	
Node 60: 26: 217.891 Hz	-1.15274e-6	3.28994e-6	1.47555e-6	
Node 60: 27: 225.0 Hz	-1.04797e-6	3.16727e-6	1.30512e-6	
Node 60: 28: 250.0 Hz	-8.15117e-7	2.88366e-6	8.8785e-7	
Node 60: 29: 253.857 Hz	-7.9217e-7	2.86042e-6	8.43703e-7	
Node 60: 30: 256.009 Hz	-7.80464e-7	2.84977e-6	8.21058e-7	
Node 60: 31: 271.668 Hz	-7.14732e-7	2.81944e-6	6.95078e-7	
Node 60: 32: 275.0 Hz	-7.04347e-7	2.82275e-6	6.76223e-7	
Node 60: 33: 278.879 Hz	-6.93518e-7	2.83033e-6	6.57386e-7	
Node 60: 34: 291.043 Hz	-6.66687e-7	2.87602e-6	6.17278e-7	
Node 60: 35: 300.0 Hz	-6.52102e-7	2.92512e-6	6.02383e-7	
Node 60: 36: 302.006 Hz	-6.49285e-7	2.93726e-6	6.00321e-7	
Node 60: 37: 309.966 Hz	-6.39393e-7	2.98769e-6	5.95459e-7	
Node 60: 38: 314.893 Hz	-6.34156e-7	3.01952e-6	5.94359e-7	
Node 60: 39: 325.0 Hz	-6.25209e-7	3.08226e-6	-5.94222e-7	
Node 60: 40: 332.746 Hz	-6.19905e-7	3.12475e-6	-5.94292e-7	
Node 60: 41: 350.0 Hz	-6.13403e-7	3.18927e-6	-5.89637e-7	
Node 60: 42: 352.215 Hz	-6.13167e-7	3.19382e-6	-5.88346e-7	
Node 60: 43: 367.211 Hz	-6.15627e-7	3.19892e-6	-5.75187e-7	
Node 60: 44: 375.0 Hz	-6.19816e-7	3.1834e-6	-5.65617e-7	
Node 60: 45: 400.0 Hz	-6.45997e-7	3.05406e-6	-5.26883e-7	
Node 60: 46: 417.262 Hz	-6.72884e-7	2.90597e-6	-4.97513e-7	
Node 60: 47: 425.0 Hz	-6.86335e-7	2.82823e-6	-4.84617e-7	
Node 60: 48: 441.484 Hz	-7.16121e-7	2.64721e-6	-4.58766e-7	
Node 60: 49: 450.0 Hz	-7.31409e-7	2.54877e-6	-4.46561e-7	
Node 60: 50: 475.0 Hz	-7.72271e-7	2.25779e-6	-4.16085e-7	
Node 60: 51: 490.708 Hz	-7.92708e-7	2.08356e-6	-4.01125e-7	
Node 60: 52: 500.0 Hz	-8.02283e-7	1.9863e-6	-3.93718e-7	
