	DX	DY	DZ	
	m	m	m	
Node 1025: 1: 0.0 Hz	7.72538e-6	4.85359e-6	1.02207e-6	
Node 1025: 2: 14.8424 Hz	8.48534e-6	5.4865e-6	1.20248e-6	
Node 1025: 3: 16.6339 Hz	8.69425e-6	5.66271e-6	1.2529e-6	
Node 1025: 4: 18.1274 Hz	8.89133e-6	5.82952e-6	1.30144e-6	
Node 1025: 5: 25.0 Hz	1.00779e-5	6.83086e-6	1.64833e-6	
Node 1025: 6: 25.7088 Hz	1.02245e-5	6.9517e-6	1.70343e-6	
Node 1025: 7: 35.5784 Hz	1.22146e-5	8.37956e-6	3.17774e-6	
Node 1025: 8: 37.2406 Hz	1.23936e-5	8.50666e-6	3.47071e-6	
Node 1025: 9: 39.8727 Hz	1.24356e-5	8.60286e-6	3.82751e-6	
Node 1025: 10: 42.1489 Hz	1.21737e-5	8.53424e-6	3.9942e-6	
Node 1025: 11: 43.4527 Hz	1.18959e-5	8.41763e-6	4.02862e-6	
Node 1025: 12: 47.2364 Hz	1.06913e-5	7.79038e-6	3.92362e-6	
Node 1025: 13: 50.0 Hz	9.6299e-6	7.16319e-6	3.72235e-6	
Node 1025: 14: 51.4775 Hz	9.06046e-6	6.80892e-6	3.5938e-6	
Node 1025: 15: 61.6258 Hz	-5.89496e-6	4.69691e-6	2.70872e-6	
Node 1025: 16: 62.6836 Hz	-5.64678e-6	4.52797e-6	2.63208e-6	
Node 1025: 17: 73.0068 Hz	-3.75712e-6	3.3109e-6	2.08854e-6	
Node 1025: 18: 75.0 Hz	-3.47251e-6	3.14351e-6	2.01801e-6	
Node 1025: 19: 87.2501 Hz	-2.07544e-6	2.38147e-6	1.70997e-6	
Node 1025: 20: 89.2682 Hz	-1.89523e-6	2.28864e-6	1.6736e-6	
Node 1025: 21: 100.0 Hz	-1.15317e-6	1.91264e-6	1.53908e-6	
Node 1025: 22: 105.754 Hz	-8.84005e-7	1.77619e-6	1.50485e-6	
Node 1025: 23: 107.58 Hz	-8.12912e-7	1.7397e-6	1.49853e-6	
Node 1025: 24: 125.0 Hz	-3.4169e-7	1.4748e-6	1.50585e-6	
Node 1025: 25: 126.323 Hz	-3.15286e-7	1.45686e-6	1.50916e-6	
Node 1025: 26: 132.804 Hz	1.99084e-7	1.36627e-6	-1.52692e-6	
Node 1025: 27: 150.0 Hz	1.78674e-7	1.08416e-6	-1.57326e-6	
Node 1025: 28: 150.257 Hz	1.81963e-7	1.07951e-6	-1.57392e-6	
Node 1025: 29: 151.844 Hz	2.02756e-7	1.05063e-6	-1.57803e-6	
Node 1025: 30: 154.968 Hz	2.44818e-7	9.93188e-7	-1.58622e-6	
Node 1025: 31: 164.868 Hz	3.72927e-7	8.11717e-7	-1.61399e-6	
Node 1025: 32: 172.472 Hz	4.57023e-7	6.80838e-7	-1.63645e-6	
Node 1025: 33: 175.0 Hz	4.81554e-7	6.40166e-7	-1.64359e-6	
Node 1025: 34: 178.006 Hz	5.0837e-7	5.94071e-7	-1.6515e-6	
Node 1025: 35: 182.173 Hz	5.41238e-7	5.34713e-7	-1.66079e-6	
Node 1025: 36: 183.196 Hz	5.48541e-7	5.21006e-7	-1.66268e-6	
Node 1025: 37: 191.569 Hz	5.96959e-7	4.23247e-7	-1.67013e-6	
Node 1025: 38: 200.0 Hz	6.26023e-7	3.53741e-7	-1.65857e-6	
Node 1025: 39: 209.144 Hz	6.3778e-7	3.1295e-7	-1.61972e-6	
Node 1025: 40: 217.491 Hz	6.34422e-7	3.02138e-7	-1.56009e-6	
Node 1025: 41: 224.746 Hz	6.24236e-7	3.05367e-7	-1.4919e-6	
Node 1025: 42: 225.0 Hz	6.23799e-7	3.05601e-7	-1.48928e-6	
Node 1025: 43: 232.775 Hz	6.09101e-7	3.14347e-7	-1.40287e-6	
Node 1025: 44: 247.769 Hz	5.82402e-7	3.27847e-7	-1.21585e-6	
Node 1025: 45: 249.996 Hz	5.79435e-7	3.28632e-7	-1.18731e-6	
Node 1025: 46: 250.0 Hz	5.79431e-7	3.28633e-7	-1.18726e-6	
Node 1025: 47: 254.384 Hz	5.74638e-7	3.29046e-7	-1.13138e-6	
Node 1025: 48: 257.877 Hz	5.71846e-7	3.28291e-7	-1.08746e-6	
Node 1025: 49: 261.992 Hz	5.69706e-7	3.26192e-7	-1.0368e-6	
Node 1025: 50: 268.384 Hz	5.68617e-7	3.20476e-7	-9.61181e-7	
Node 1025: 51: 275.0 Hz	5.69769e-7	3.11715e-7	-8.87746e-7	
Node 1025: 52: 286.723 Hz	-5.74838e-7	2.90333e-7	-7.71531e-7	
Node 1025: 53: 290.897 Hz	-5.76816e-7	2.81262e-7	-7.34606e-7	
Node 1025: 54: 300.0 Hz	-5.80141e-7	2.59482e-7	-6.61944e-7	
Node 1025: 55: 302.805 Hz	-5.80717e-7	2.52328e-7	-6.41626e-7	
Node 1025: 56: 305.502 Hz	-5.8102e-7	2.45295e-7	-6.22957e-7	
Node 1025: 57: 307.079 Hz	-5.81074e-7	2.4112e-7	-6.12421e-7	
Node 1025: 58: 314.94 Hz	-5.79885e-7	2.19804e-7	-5.6384e-7	
Node 1025: 59: 318.341 Hz	-5.78588e-7	2.10405e-7	-5.44701e-7	
Node 1025: 60: 322.948 Hz	-5.76077e-7	1.97619e-7	-5.20429e-7	
Node 1025: 61: 325.0 Hz	-5.74685e-7	1.91926e-7	-5.10185e-7	
Node 1025: 62: 327.561 Hz	-5.7272e-7	1.84845e-7	-4.97864e-7	
Node 1025: 63: 350.0 Hz	-5.46583e-7	1.27153e-7	-4.08257e-7	
Node 1025: 64: 358.727 Hz	-5.33489e-7	1.09041e-7	-3.80497e-7	
Node 1025: 65: 363.981 Hz	-5.25236e-7	1.00057e-7	-3.65295e-7	
Node 1025: 66: 371.469 Hz	-5.13289e-7	9.03461e-8	-3.4538e-7	
Node 1025: 67: 375.0 Hz	-5.07658e-7	8.71705e-8	-3.36646e-7	
Node 1025: 68: 377.132 Hz	-5.04277e-7	8.57081e-8	-3.31565e-7	
Node 1025: 69: 395.201 Hz	-4.76973e-7	8.59397e-8	-2.93796e-7	
Node 1025: 70: 400.0 Hz	-4.70313e-7	8.89212e-8	-2.85211e-7	
Node 1025: 71: 413.426 Hz	-4.53384e-7	1.00389e-7	-2.64024e-7	
Node 1025: 72: 425.0 Hz	-4.40942e-7	1.11626e-7	-2.48758e-7	
Node 1025: 73: 431.201 Hz	-4.35099e-7	1.17587e-7	-2.4159e-7	
Node 1025: 74: 436.68 Hz	-4.30396e-7	1.2269e-7	-2.35787e-7	
Node 1025: 75: 439.133 Hz	-4.28426e-7	1.2491e-7	-2.33342e-7	
Node 1025: 76: 440.071 Hz	-4.27694e-7	1.25748e-7	-2.32431e-7	
Node 1025: 77: 450.0 Hz	-4.20641e-7	1.34188e-7	-2.23549e-7	
Node 1025: 78: 459.204 Hz	-4.15142e-7	1.41278e-7	-2.16444e-7	
Node 1025: 79: 468.186 Hz	-4.10601e-7	1.47505e-7	-2.10418e-7	
Node 1025: 80: 475.0 Hz	-4.07614e-7	1.51784e-7	-2.06367e-7	
Node 1025: 81: 489.777 Hz	-4.02167e-7	1.59801e-7	-1.98873e-7	
Node 1025: 82: 500.0 Hz	-3.98951e-7	1.64385e-7	-1.94533e-7	
Node 1025: 83: 517.326 Hz	-3.93879e-7	1.7045e-7	-1.8835e-7	
