	DX	DY	DZ	
	m	m	m	
Node 60: 1: 0.0 Hz	9.17683e-6	1.8295e-5	-8.86375e-6	
Node 60: 2: 25.0 Hz	9.81378e-6	2.07575e-5	-9.20373e-6	
Node 60: 3: 28.3646 Hz	1.00062e-5	2.1534e-5	-9.30386e-6	
Node 60: 4: 50.0 Hz	1.16895e-5	2.96612e-5	-1.01435e-5	
Node 60: 5: 50.1598 Hz	1.17e-5	2.97327e-5	-1.01487e-5	
Node 60: 6: 67.9919 Hz	1.07926e-5	3.2106e-5	-1.00124e-5	
Node 60: 7: 69.454 Hz	1.05171e-5	3.15303e-5	-9.95508e-6	
Node 60: 8: 75.0 Hz	9.42372e-6	2.85819e-5	-9.79003e-6	
Node 60: 9: 80.5485 Hz	8.49233e-6	2.51112e-5	-9.76137e-6	
Node 60: 10: 89.394 Hz	7.65426e-6	1.99356e-5	-9.94113e-6	
Node 60: 11: 100.0 Hz	7.39476e-6	-1.49935e-5	-1.01593e-5	
Node 60: 12: 120.237 Hz	6.84589e-6	-8.31973e-6	-9.17049e-6	
Node 60: 13: 125.0 Hz	6.52899e-6	-7.16383e-6	-8.62818e-6	
Node 60: 14: 129.311 Hz	6.19564e-6	-6.25446e-6	-8.08308e-6	
Node 60: 15: 142.442 Hz	5.08525e-6	-4.22912e-6	-6.37308e-6	
Node 60: 16: 146.936 Hz	4.71929e-6	-3.75467e-6	-5.83293e-6	
Node 60: 17: 150.0 Hz	4.48158e-6	-3.48222e-6	-5.48655e-6	
Node 60: 18: 166.486 Hz	3.39767e-6	-2.54472e-6	-3.94125e-6	
Node 60: 19: 175.0 Hz	2.96103e-6	-2.30515e-6	-3.33579e-6	
Node 60: 20: 184.177 Hz	2.56938e-6	-2.16639e-6	-2.81611e-6	
Node 60: 21: 197.232 Hz	2.13078e-6	-2.10819e-6	-2.3186e-6	
Node 60: 22: 200.0 Hz	2.05347e-6	-2.10947e-6	-2.25102e-6	
