	DX	DY	DZ	
	m	m	m	
Node 1025: 73: 431.201 Hz	2.90873e-6	4.30558e-6	-7.75575e-7	
Node 1025: 74: 436.68 Hz	2.84672e-6	4.2521e-6	-7.57859e-7	
Node 1025: 75: 439.133 Hz	2.82022e-6	4.22892e-6	-7.50323e-7	
Node 1025: 76: 440.071 Hz	2.81029e-6	4.22018e-6	-7.47504e-7	
Node 1025: 77: 450.0 Hz	2.71161e-6	4.13191e-6	-7.19617e-7	
Node 1025: 78: 459.204 Hz	2.62981e-6	4.05664e-6	-6.96641e-7	
Node 1025: 79: 468.186 Hz	2.55773e-6	3.98858e-6	-6.7647e-7	
Node 1025: 80: 475.0 Hz	2.50739e-6	3.93996e-6	-6.6242e-7	
Node 1025: 81: 489.777 Hz	2.40837e-6	3.84116e-6	-6.3489e-7	
Node 1025: 82: 500.0 Hz	-2.34585e-6	-3.77622e-6	6.17626e-7	
Node 1025: 83: 517.326 Hz	-2.24653e-6	-3.66825e-6	5.90518e-7	
Node 1025: 84: 520.232 Hz	-2.23037e-6	-3.65009e-6	5.86155e-7	
Node 1025: 85: 521.341 Hz	-2.22422e-6	-3.64314e-6	5.84499e-7	
Node 1025: 86: 525.0 Hz	-2.20403e-6	-3.62012e-6	5.79077e-7	
Node 1025: 87: 538.731 Hz	-2.12892e-6	-3.53216e-6	5.59127e-7	
Node 1025: 88: 544.009 Hz	-2.10016e-6	-3.49751e-6	5.51585e-7	
Node 1025: 89: 550.0 Hz	-2.06752e-6	-3.45755e-6	5.43092e-7	
Node 1025: 90: 557.978 Hz	-2.02403e-6	-3.40322e-6	5.3188e-7	
Node 1025: 91: 575.0 Hz	-1.93117e-6	-3.28308e-6	5.08337e-7	
Node 1025: 92: 599.258 Hz	-1.79987e-6	-3.10318e-6	4.75857e-7	
Node 1025: 93: 600.0 Hz	-1.7959e-6	-3.09755e-6	4.74888e-7	
Node 1025: 94: 609.776 Hz	-1.74395e-6	-3.02279e-6	4.62253e-7	
Node 1025: 95: 617.622 Hz	-1.70284e-6	-2.96218e-6	4.52312e-7	
Node 1025: 96: 625.0 Hz	-1.66474e-6	-2.90484e-6	4.43127e-7	
Node 1025: 97: 628.013 Hz	-1.64935e-6	-2.88136e-6	4.39421e-7	
Node 1025: 98: 638.223 Hz	-1.598e-6	-2.80165e-6	4.27054e-7	
Node 1025: 99: 643.334 Hz	-1.57278e-6	-2.76174e-6	4.20971e-7	
Node 1025: 100: 650.0 Hz	-1.54041e-6	-2.70978e-6	4.13139e-7	
Node 1025: 101: 661.025 Hz	-1.48821e-6	-2.62424e-6	4.00428e-7	
Node 1025: 102: 675.0 Hz	-1.42452e-6	-2.51704e-6	3.84711e-7	
Node 1025: 103: 687.294 Hz	-1.37085e-6	-2.42437e-6	3.71219e-7	
Node 1025: 104: 697.3 Hz	-1.32881e-6	-2.35038e-6	3.60455e-7	
Node 1025: 105: 700.0 Hz	-1.31772e-6	-2.33066e-6	3.57582e-7	
Node 1025: 106: 709.929 Hz	-1.27785e-6	-2.25913e-6	3.47135e-7	
Node 1025: 107: 722.389 Hz	-1.22985e-6	-2.17171e-6	3.34285e-7	
Node 1025: 108: 725.0 Hz	-1.22007e-6	-2.15375e-6	3.31631e-7	
Node 1025: 109: 736.09 Hz	-1.17961e-6	-2.07889e-6	3.20505e-7	
Node 1025: 110: 743.994 Hz	-1.15182e-6	-2.027e-6	3.12729e-7	
Node 1025: 111: 750.0 Hz	-1.13128e-6	-1.98841e-6	3.06911e-7	
Node 1025: 112: 754.932 Hz	-1.11477e-6	-1.95728e-6	3.02194e-7	
Node 1025: 113: 762.145 Hz	-1.09119e-6	-1.91266e-6	2.95396e-7	
Node 1025: 114: 774.128 Hz	-1.0535e-6	-1.84094e-6	2.84381e-7	
Node 1025: 115: 775.0 Hz	-1.05083e-6	-1.83584e-6	2.83593e-7	
Node 1025: 116: 785.187 Hz	-1.02029e-6	-1.77744e-6	2.7454e-7	
Node 1025: 117: 800.0 Hz	-9.78066e-7	-1.69642e-6	2.61874e-7	
Node 1025: 118: 814.223 Hz	-9.39819e-7	-1.62291e-6	2.50292e-7	
Node 1025: 119: 825.0 Hz	-9.12254e-7	-1.56995e-6	2.41906e-7	
Node 1025: 120: 826.076 Hz	-9.09566e-7	-1.56478e-6	2.41087e-7	
Node 1025: 121: 850.0 Hz	-8.52657e-7	-1.45575e-6	2.23757e-7	
Node 1025: 122: 872.03 Hz	-8.04739e-7	-1.36456e-6	2.09257e-7	
Node 1025: 123: 875.0 Hz	-7.98583e-7	-1.3529e-6	2.07406e-7	
Node 1025: 124: 894.352 Hz	-7.60117e-7	-1.28041e-6	1.95924e-7	
Node 1025: 125: 900.0 Hz	-7.49406e-7	-1.26034e-6	1.92756e-7	
Node 1025: 126: 917.093 Hz	-7.18314e-7	-1.20242e-6	1.83645e-7	
Node 1025: 127: 925.0 Hz	-7.04574e-7	-1.17698e-6	1.79662e-7	
Node 1025: 128: 930.194 Hz	-6.9576e-7	-1.16071e-6	1.77121e-7	
Node 1025: 129: 950.0 Hz	-6.63609e-7	-1.10176e-6	1.67957e-7	
Node 1025: 130: 975.0 Hz	-6.26092e-7	-1.03373e-6	1.57475e-7	
Node 1025: 131: 1000.0 Hz	-5.91658e-7	-9.72033e-7	1.48055e-7	
Node 1754: 1: 0.0 Hz	3.67298e-5	5.47704e-6	2.74251e-5	
Node 1754: 2: 14.8424 Hz	3.93766e-5	7.01503e-6	3.07068e-5	
Node 1754: 3: 16.6339 Hz	4.00887e-5	7.48866e-6	3.16158e-5	
Node 1754: 4: 18.1274 Hz	4.07515e-5	7.95592e-6	3.24736e-5	
