	DX	DY	DZ	
	m	m	m	
Node 60: 1: 0.0 Hz	1.25527e-5	3.61849e-5	-4.75703e-6	
Node 60: 2: 25.0 Hz	1.36228e-5	4.08233e-5	-5.26218e-6	
Node 60: 3: 28.3646 Hz	1.39502e-5	4.22809e-5	-5.41711e-6	
Node 60: 4: 50.0 Hz	1.69644e-5	5.7336e-5	-6.93148e-6	
Node 60: 5: 50.1598 Hz	1.69854e-5	5.74657e-5	-6.94388e-6	
Node 60: 6: 67.9919 Hz	1.59391e-5	6.09194e-5	-7.32293e-6	
Node 60: 7: 69.454 Hz	1.54866e-5	5.97317e-5	-7.24397e-6	
Node 60: 8: 75.0 Hz	1.35619e-5	5.38276e-5	-6.91303e-6	
Node 60: 9: 80.5485 Hz	1.16964e-5	4.70443e-5	-6.67955e-6	
Node 60: 10: 89.394 Hz	9.52611e-6	3.7161e-5	-6.72115e-6	
Node 60: 11: 100.0 Hz	8.24481e-6	2.8108e-5	-7.28354e-6	
Node 60: 12: 120.237 Hz	7.15851e-6	1.70371e-5	-8.23142e-6	
Node 60: 13: 125.0 Hz	6.84357e-6	1.52701e-5	-8.24693e-6	
Node 60: 14: 129.311 Hz	6.52684e-6	1.38964e-5	-8.19519e-6	
Node 60: 15: 142.442 Hz	5.49981e-6	1.07957e-5	-7.81508e-6	
Node 60: 16: 146.936 Hz	5.16335e-6	1.00243e-5	-7.65767e-6	
Node 60: 17: 150.0 Hz	4.94431e-6	9.56167e-6	-7.55132e-6	
Node 60: 18: 166.486 Hz	3.92361e-6	7.71513e-6	-7.02968e-6	
Node 60: 19: 175.0 Hz	3.48732e-6	7.0628e-6	-6.7863e-6	
Node 60: 20: 184.177 Hz	3.07043e-6	6.51677e-6	-6.53017e-6	
Node 60: 21: 197.232 Hz	2.55638e-6	5.94362e-6	-6.17174e-6	
Node 60: 22: 200.0 Hz	2.45792e-6	5.84489e-6	-6.0975e-6	
Node 60: 23: 204.712 Hz	2.29797e-6	5.69055e-6	-5.97351e-6	
Node 60: 24: 212.011 Hz	2.06783e-6	5.47848e-6	-5.78921e-6	
Node 60: 25: 214.284 Hz	2.0002e-6	5.41762e-6	-5.73414e-6	
Node 60: 26: 217.891 Hz	1.89651e-6	5.3249e-6	-5.64928e-6	
