	DX	DY	DZ	
	m	m	m	
Node 60: 1: 0.0 Hz	5.05482e-6	1.15514e-5	-3.79559e-6	
Node 60: 2: 25.0 Hz	5.44951e-6	1.29561e-5	-4.0056e-6	
Node 60: 3: 28.3646 Hz	5.56951e-6	1.3397e-5	-4.0684e-6	
Node 60: 4: 50.0 Hz	6.6615e-6	1.79065e-5	-4.63643e-6	
Node 60: 5: 50.1598 Hz	6.66906e-6	1.79447e-5	-4.64062e-6	
Node 60: 6: 67.9919 Hz	6.36456e-6	1.86815e-5	-4.74917e-6	
Node 60: 7: 69.454 Hz	6.22416e-6	1.82818e-5	-4.7318e-6	
Node 60: 8: 75.0 Hz	5.65805e-6	1.63354e-5	-4.69109e-6	
Node 60: 9: 80.5485 Hz	5.17804e-6	1.41199e-5	-4.72737e-6	
Node 60: 10: 89.394 Hz	4.78218e-6	-1.08595e-5	-4.93685e-6	
Node 60: 11: 100.0 Hz	4.74425e-6	-7.73553e-6	-5.24791e-6	
Node 60: 12: 120.237 Hz	4.5627e-6	-3.41381e-6	-5.09126e-6	
Node 60: 13: 125.0 Hz	-4.36821e-6	2.64939e-6	4.8391e-6	
Node 60: 14: 129.311 Hz	-4.14675e-6	2.04477e-6	4.55494e-6	
Node 60: 15: 142.442 Hz	-3.31737e-6	7.19632e-7	3.50492e-6	
Node 60: 16: 146.936 Hz	-3.01417e-6	4.6642e-7	3.12427e-6	
Node 60: 17: 150.0 Hz	-2.80892e-6	3.8194e-7	2.86758e-6	
Node 60: 18: 166.486 Hz	-1.79582e-6	6.82216e-7	1.63102e-6	
Node 60: 19: 175.0 Hz	-1.36771e-6	8.27461e-7	1.16078e-6	
Node 60: 20: 184.177 Hz	-9.94069e-7	9.23063e-7	8.55941e-7	
Node 60: 21: 197.232 Hz	-6.18963e-7	1.00077e-6	8.27565e-7	
Node 60: 22: 200.0 Hz	-5.62384e-7	1.01338e-6	8.63046e-7	
Node 60: 23: 204.712 Hz	-4.84377e-7	1.03388e-6	9.377e-7	
Node 60: 24: 212.011 Hz	-4.08763e-7	1.06556e-6	1.068e-6	
Node 60: 25: 214.284 Hz	-3.95973e-7	1.07578e-6	1.1092e-6	
Node 60: 26: 217.891 Hz	-3.85088e-7	1.09253e-6	1.17373e-6	
Node 60: 27: 225.0 Hz	-3.91078e-7	1.12783e-6	1.29543e-6	
Node 60: 28: 250.0 Hz	-5.30685e-7	1.27135e-6	1.64687e-6	
Node 60: 29: 253.857 Hz	-5.55031e-7	1.29424e-6	1.69019e-6	
Node 60: 30: 256.009 Hz	-5.68346e-7	1.30682e-6	1.71309e-6	
Node 60: 31: 271.668 Hz	-6.56212e-7	1.38958e-6	1.85148e-6	
Node 60: 32: 275.0 Hz	-6.72384e-7	1.40417e-6	1.87429e-6	
Node 60: 33: 278.879 Hz	-6.89925e-7	1.41936e-6	1.8978e-6	
Node 60: 34: 291.043 Hz	-7.35461e-7	-1.45229e-6	1.9499e-6	
Node 60: 35: 300.0 Hz	-7.59504e-7	-1.46042e-6	1.96734e-6	
Node 60: 36: 302.006 Hz	-7.63795e-7	-1.46027e-6	1.96889e-6	
Node 60: 37: 309.966 Hz	-7.77043e-7	-1.45252e-6	1.96702e-6	
Node 60: 38: 314.893 Hz	-7.82384e-7	-1.44222e-6	1.95984e-6	
Node 60: 39: 325.0 Hz	-7.87299e-7	-1.40907e-6	1.93259e-6	
Node 60: 40: 332.746 Hz	-7.86438e-7	-1.37427e-6	1.9022e-6	
Node 60: 41: 350.0 Hz	-7.74561e-7	-1.27628e-6	1.81441e-6	
Node 60: 42: 352.215 Hz	-7.72372e-7	-1.26238e-6	1.80182e-6	
Node 60: 43: 367.211 Hz	-7.55722e-7	-1.16571e-6	1.71327e-6	
Node 60: 44: 375.0 Hz	-7.46621e-7	-1.11614e-6	1.66677e-6	
Node 60: 45: 400.0 Hz	-7.19728e-7	9.78303e-7	-1.52666e-6	
Node 60: 46: 417.262 Hz	-7.04543e-7	9.14696e-7	-1.44422e-6	
Node 60: 47: 425.0 Hz	-6.98522e-7	8.96481e-7	-1.41188e-6	
Node 60: 48: 441.484 Hz	-6.8661e-7	8.78584e-7	-1.35271e-6	
Node 60: 49: 450.0 Hz	-6.80591e-7	8.79187e-7	-1.32711e-6	
Node 60: 50: 475.0 Hz	-6.61352e-7	9.07146e-7	-1.26866e-6	
Node 60: 51: 490.708 Hz	-6.46732e-7	9.34644e-7	-1.24168e-6	
Node 60: 52: 500.0 Hz	-6.36781e-7	9.51425e-7	-1.22804e-6	
Node 60: 53: 508.204 Hz	-6.27082e-7	9.6566e-7	-1.21694e-6	
Node 60: 54: 522.299 Hz	-6.0828e-7	9.87561e-7	-1.19901e-6	
Node 60: 55: 523.017 Hz	-6.07247e-7	9.88568e-7	-1.19811e-6	
Node 60: 56: 525.0 Hz	-6.0436e-7	9.91285e-7	-1.19564e-6	
Node 60: 57: 550.0 Hz	-5.6329e-7	1.01702e-6	-1.16376e-6	
Node 60: 58: 575.0 Hz	5.14443e-7	-1.02581e-6	-1.12775e-6	
Node 60: 59: 581.332 Hz	5.0108e-7	-1.02535e-6	-1.11769e-6	
Node 60: 60: 600.0 Hz	4.60055e-7	-1.01801e-6	-1.08564e-6	
Node 60: 61: 602.059 Hz	4.55421e-7	-1.01668e-6	-1.08188e-6	
Node 60: 62: 613.672 Hz	4.29061e-7	-1.00728e-6	-1.05988e-6	
Node 60: 63: 618.756 Hz	4.17461e-7	-1.00221e-6	-1.04982e-6	
Node 60: 64: 625.0 Hz	4.03222e-7	9.95223e-7	1.03713e-6	
Node 60: 65: 650.0 Hz	3.47269e-7	9.59451e-7	9.82742e-7	
Node 60: 66: 651.206 Hz	3.44646e-7	9.57433e-7	9.79986e-7	
Node 60: 67: 668.491 Hz	3.08211e-7	9.25887e-7	9.39321e-7	
Node 60: 68: 675.0 Hz	2.95145e-7	9.12823e-7	9.23499e-7	
Node 60: 69: 697.65 Hz	2.5302e-7	8.63048e-7	8.66748e-7	
Node 60: 70: 700.0 Hz	2.48969e-7	8.57547e-7	8.6074e-7	
Node 60: 71: 723.929 Hz	2.11344e-7	7.98745e-7	7.98847e-7	
Node 60: 72: 725.0 Hz	2.09814e-7	7.96015e-7	7.9606e-7	
Node 60: 73: 727.004 Hz	2.06986e-7	7.90888e-7	7.90842e-7	
Node 60: 74: 750.0 Hz	1.7773e-7	7.30862e-7	7.31174e-7	
Node 60: 75: 754.821 Hz	1.72304e-7	7.18113e-7	7.1878e-7	
Node 60: 76: 771.47 Hz	1.55278e-7	6.74102e-7	6.76549e-7	
Node 60: 77: 775.0 Hz	1.51987e-7	6.64823e-7	6.67735e-7	
Node 60: 78: 791.948 Hz	1.37564e-7	6.2086e-7	6.26279e-7	
Node 60: 79: 797.615 Hz	1.33206e-7	6.06451e-7	6.12771e-7	
Node 60: 80: 800.0 Hz	1.31436e-7	6.00443e-7	6.07146e-7	
Node 60: 81: 825.0 Hz	1.14862e-7	5.39786e-7	5.50442e-7	
Node 60: 82: 826.491 Hz	1.13976e-7	5.3632e-7	5.47198e-7	
Node 60: 83: 850.0 Hz	1.0123e-7	4.84259e-7	4.98254e-7	
Node 60: 84: 857.624 Hz	9.75326e-8	4.68475e-7	4.83288e-7	
Node 60: 85: 875.0 Hz	8.97653e-8	4.34586e-7	4.50849e-7	
Node 60: 86: 894.221 Hz	8.20874e-8	4.00484e-7	4.17647e-7	
Node 60: 87: 900.0 Hz	7.99419e-8	3.90912e-7	4.08202e-7	
Node 60: 88: 925.0 Hz	7.14133e-8	3.52967e-7	3.70095e-7	
Node 60: 89: 944.918 Hz	6.5389e-8	3.26495e-7	3.4276e-7	
Node 60: 90: 950.0 Hz	6.39494e-8	3.20232e-7	3.3619e-7	
Node 60: 91: 975.0 Hz	5.73885e-8	2.92071e-7	3.06094e-7	
Node 60: 92: 1000.0 Hz	5.16078e-8	2.67833e-7	2.79403e-7	
Node 2422: 1: 0.0 Hz	1.03763e-5	1.54378e-5	4.52942e-6	
Node 2422: 2: 25.0 Hz	1.13691e-5	1.74128e-5	4.66433e-6	
Node 2422: 3: 28.3646 Hz	1.16748e-5	1.8034e-5	4.70459e-6	
Node 2422: 4: 50.0 Hz	1.4585e-5	2.44603e-5	5.19334e-6	
Node 2422: 5: 50.1598 Hz	1.46068e-5	2.45158e-5	5.1997e-6	
Node 2422: 6: 67.9919 Hz	1.41475e-5	2.59811e-5	6.41813e-6	
Node 2422: 7: 69.454 Hz	1.37812e-5	2.54691e-5	6.54885e-6	
Node 2422: 8: 75.0 Hz	1.21753e-5	2.2918e-5	7.03479e-6	
Node 2422: 9: 80.5485 Hz	1.05667e-5	1.99682e-5	7.48558e-6	
Node 2422: 10: 89.394 Hz	8.62733e-6	-1.55982e-5	-8.11603e-6	
Node 2422: 11: 100.0 Hz	7.42887e-6	-1.14122e-5	-8.6557e-6	
Node 2422: 12: 120.237 Hz	6.4811e-6	-5.67855e-6	-8.2125e-6	
Node 2422: 13: 125.0 Hz	-6.21906e-6	4.68385e-6	7.76441e-6	
Node 2422: 14: 129.311 Hz	-5.94941e-6	3.91068e-6	7.27602e-6	
Node 2422: 15: 142.442 Hz	-5.02908e-6	2.32365e-6	5.53322e-6	
Node 2422: 16: 146.936 Hz	-4.713e-6	2.03531e-6	4.91282e-6	
Node 2422: 17: 150.0 Hz	-4.50405e-6	1.90287e-6	4.4955e-6	
Node 2422: 18: 166.486 Hz	-3.52323e-6	1.73401e-6	2.44968e-6	
Node 2422: 19: 175.0 Hz	-3.12521e-6	1.77069e-6	1.58217e-6	
Node 2422: 20: 184.177 Hz	-2.77478e-6	1.80323e-6	8.14797e-7	
Node 2422: 21: 197.232 Hz	-2.39284e-6	1.82343e-6	2.0582e-7	
Node 2422: 22: 200.0 Hz	-2.32616e-6	1.82581e-6	2.85195e-7	
Node 2422: 23: 204.712 Hz	-2.22207e-6	1.82993e-6	4.77128e-7	
Node 2422: 24: 212.011 Hz	-2.08107e-6	1.83897e-6	7.66972e-7	
Node 2422: 25: 214.284 Hz	-2.04152e-6	1.84293e-6	8.49854e-7	
Node 2422: 26: 217.891 Hz	-1.98248e-6	1.85066e-6	9.7399e-7	
Node 2422: 27: 225.0 Hz	-1.87803e-6	1.87211e-6	1.19436e-6	
Node 2422: 28: 250.0 Hz	-1.60829e-6	2.02602e-6	1.77733e-6	
