ReproductiveState,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
nrc,38.298525,23.289475,6.8417575,2.4470825,1.85103125,1.8870925,0.514688875,0.211001763,0.320376625,0.311138
nrc,58.043125,53.0988,21.3501975,7.69678375,4.70313,1.70410625,0.455978188,0.28401775,0.373126875,0.482800125
nrc,33.3704,29.0475625,21.8610125,13.8659,9.47331125,2.26498875,2.0879625,2.46615625,0.45031575,0.221432375
nrc,56.598475,106.41975,63.98825,40.9045875,25.73385,13.8629,9.43425875,3.13403125,1.001362375,0.52333175
nrc,78.3380625,40.76622875,20.13425,10.9497225,4.573789125,2.15025,1.53065375,1.323528375,0.903314663,0.511708875
nrc,255.69075,171.6805,87.870375,36.255875,17.948825,8.89066625,7.7945375,2.5016225,2.12610875,0.533464375
nrc,102.901,70.5441875,49.087125,27.5643,15.9097375,7.7402975,5.46876125,3.409405,1.3160775,0.376107375
nrc,39.617125,51.08325,18.3285,7.6133375,3.20257625,1.227266625,0.539127,0.614229375,0.52184125,0.368060625
nrc,17.165325,12.722975,5.516745,1.86474,0.941758125,0.537935,0.340642375,0.315906375,0.275673125,0.307561625
nrc,15.6692375,10.31525,3.88534625,0.38504825,0.35107325,0.257791563,0.197292338,0.228882975,0.3150125,0.241698138
nrc,93.529825,31.2014,17.3676875,7.10491,3.53874375,2.4694375,1.370915875,1.061565125,0.64850275,0.522735625
nrc,61.630325,31.8433125,7.0608,5.12424625,2.76925125,1.3530325,0.632409125,0.346304875,0.246764663,0.136495488
nrc,20.2603625,6.29696875,1.86682625,1.56314125,1.009410125,0.579062625,0.744466,0.59575175,0.456872125,0.216664238
nrc,9.0971975,1.46419625,0.482501925,0.454786,0.318290438,0.318886675,0.198186513,0.2446785,0.207127313,0.27775925
nrc,73.819475,44.6900625,9.78849125,4.39795,3.45216875,2.00869,0.9559145,0.510814625,0.270755638,0.448527625
nrc,40.6324875,19.3641625,4.9543675,2.4449975,1.94967625,0.6601245,0.399055813,0.508430375,0.300409075,0.36299425
nrc,183.29975,76.0522875,40.0438625,29.460325,18.1914,10.53699875,5.80076125,3.2341675,1.3864125,0.599626125
nrc,131.206025,93.63415,56.2533875,28.5871375,15.5938375,8.77802,5.613,3.15191125,1.403101375,0.4488255
nrc,132.73175,140.854625,89.787825,48.0201625,26.7018375,16.697725,9.2352,7.3767075,5.1474875,2.8395825
nrc,72.773975,37.8515125,28.45065,5.604065,3.53338125,1.972925,1.2540895,1.150376,0.979905625,0.456574
nrc,76.9189,46.47345,23.51835,12.33645,9.5421475,5.98434125,3.1203225,1.73331375,1.1295145,0.8118205
nrc,47.3287625,29.66775,18.3314875,7.09001,4.31539375,2.25545125,1.40012125,0.78857375,0.320674813,0.333191563
nrc,287.574375,182.596625,73.3474625,60.9234,41.2061375,17.9720875,10.9625625,8.26362625,4.007835,2.4032725
nrc,204.815875,174.88225,70.0083375,38.6335625,22.9646125,12.15585,7.10848875,4.35473375,2.32220875,1.330383375
rc,82.1905625,25.688575,12.2619375,6.97974125,2.75375375,1.08719425,0.888114,0.62942875,0.256301225,0.236035675
rc,129.295125,61.1773,6.45045125,5.3906825,0.73910225,0.210405613,0.3923495,0.3767035,0.213534775,0.303091263
rc,71.2564625,58.5761625,26.0485625,12.2476375,5.21186625,2.39135125,1.2731625,0.64134875,0.309945625,0.351669475
rc,28.4715,65.9886,26.4067875,11.686175,4.17711125,1.62125625,0.8308935,0.500085375,0.330807388,0.280142875
rc,60.4972125,40.64645,28.3064,13.3658375,7.944145,3.5059625,2.07902,1.27793,0.518563375,0.21994255
rc,52.2443625,50.177275,26.7876625,12.7959875,6.8581475,3.4702025,2.043855,1.3744925,0.65863525,0.31352245
rc,94.861975,43.521825,27.10415,15.265425,9.8109875,3.278275,1.8346375,1.362569125,0.761751375,0.551942375
rc,99.4712375,42.3601375,15.5974125,10.1054425,6.04633375,2.5761275,0.813012125,0.247956563,0.284911875,0.17285445
rc,92.0015625,46.8376,21.3875,12.48845,6.3527,1.93358375,1.069311625,0.596049625,0.357629625,0.228883188
rc,150.125625,21.3874875,33.0807125,18.6372625,11.814925,5.0556975,2.5797075,1.099117,0.739101875,0.429155875
rc,202.43525,53.723175,110.6745,54.4384,24.812375,13.6233125,7.03577,3.802795,1.72615875,1.080040625
rc,201.30625,84.9121625,44.642975,29.8298875,17.8612125,8.685625,3.34979875,2.55705375,1.39714025,0.66042375
rc,349.900625,54.436025,108.96725,66.249675,26.5885875,11.70165,5.2810025,3.77179875,1.85013625,1.08481025
rc,190.360625,92.4974375,44.91715,8.5580725,3.37721625,3.33311,2.2554475,1.176601625,1.326808625,0.866655625
rc,292.951,104.0272875,64.3757,33.5480125,16.791875,8.36137625,4.57527625,2.55586375,1.3494575,1.013284125
rc,229.002125,44.0719625,45.578775,25.465625,13.3109875,6.14170125,2.88726875,1.58310875,0.875000875,0.71287525
rc,234.788625,67.0602625,41.6854125,20.0702125,9.16962,5.7363875,2.84435125,1.57834,0.81539525,0.524523475
rc,303.83275,184.167625,103.2740125,72.300725,31.8171125,13.103575,8.79292,5.9867275,2.81574125,1.23740025
rc,53.9222,29.153975,30.3413,13.3777375,7.02623125,4.19618625,3.489275,2.83958375,1.5461525,1.31727
rc,399.568,341.098375,247.41525,163.7065,95.4371875,55.6174,29.90975,12.1165,10.523885,3.53338125
rc,412.268625,199.7195,138.55275,77.2193875,42.4459625,20.888,11.6921125,7.74625625,3.35695375,1.769075
rc,201.1835,250.529125,137.334375,85.34015,51.801525,25.3416625,11.13184125,6.3109775,1.4090625,0.9822915
rc,238.243125,164.4885,110.972625,66.452325,36.306525,17.798025,9.8181375,7.66519375,5.2810075,3.006475
rc,546.095,437.0235,310.282125,201.9535,134.103875,76.33015,48.9833875,38.4690375,24.414225,10.42135375
