ReproductiveState,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
rc,166.709375,13.6173375,19.4872625,8.6009875,2.76090375,1.081234625,0.379087875,0.423195375,0.29087225,0.195504638
rc,76.9172625,23.8575125,14.3582375,9.212535,7.16272875,3.186485,0.424983625,0.277759575,0.2926605,0.28848825
rc,109.053375,42.833375,7.5352575,0.92030125,0.277759325,0.346901125,0.275375,0.257493538,0.282527625,0.35286125
rc,66.71575,5.69824125,3.523845,1.3959475,0.823740875,0.45895825,0.3635905,0.37193525,0.354053625,0.29087225
rc,80.3631625,9.15650375,4.67899,1.77742,0.8153965,0.56028675,0.298024875,0.333787625,0.267030563,0.247956663
rc,130.193875,36.6808875,11.42747375,6.34197,2.0313375,0.910764125,0.426771625,0.305177313,0.264645813,0.207425375
rc,36.8054375,4.67779375,2.80263,1.3977375,0.46074625,0.42140725,0.170470388,0.227095,0.17404655,0.25332125
rc,90.7557875,47.9725125,14.7820375,8.3589925,4.5681225,1.65701875,0.727181,0.67234275,0.551942125,0.419619
rc,259.860875,46.0532375,22.375725,10.60255125,3.77657125,1.933586375,0.882153375,0.75817425,0.5106955,0.393735125
rc,106.57025,35.6067625,8.74642125,3.74438375,1.6474825,0.7164515,0.2944485,0.320674625,0.245572438,0.23245955
rc,132.97375,31.3331,15.81915,7.30756625,2.7847475,0.939374,0.5793605,0.491144875,0.25272525,0.238420125
rc,297.58575,104.7403,52.7694875,29.11105,12.8317625,5.24524,3.0589275,1.921665,1.215940875,0.510218375
