Condition,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
rc,1.95712875,1.88560125,0.355990875,0.230224488,0.29161715,0.3036875,0.212938625,0.352861478,0.398310125,0.3537555
rc,1.4340965,0.35897075,0.2439334,0.350775375,0.251384138,0.263751913,0.29787575,0.215173713,0.284613738,0.31963175
rc,0.73179925,0.546130375,0.15616475,0.336768425,0.34943425,0.388326263,0.244976175,0.380131138,0.33006275,0.3141181
rc,0.3182905,0.470879375,0.21726025,0.1868616,0.312330038,0.178815113,0.230075175,0.210107375,0.23201235,0.268818725
rc,8.7042525,0.706765375,0.529441,0.323059038,0.448378375,0.3309565,0.225306988,0.252576088,0.212790113,0.218601063
rc,2.83615375,0.244976288,0.201166825,0.27999425,0.1968455,0.277907875,0.216068025,0.213087838,0.2446785,0.195355275
rc,4.63875375,0.6021595,0.228138225,0.34868925,0.296236625,0.5666935,0.206531199,0.361354875,0.325877638,0.326933325
rc,0.816289375,0.296087625,0.1437971,0.1785169,0.162125488,0.237078625,0.171215313,0.18745775,0.243635363,0.182391325
rc,4.03108125,0.8872195,0.26203975,0.259281788,0.276864888,0.301899188,0.2153232,0.16644695,0.19639835,0.250638625
rc,37.91915,3.45500125,1.4776075,0.470581125,0.29623675,0.209809313,0.188649828,0.2384199,0.1993785,0.244380363
rc,23.468275,4.8470775,3.02137875,0.94891025,0.52959075,0.33629825,0.218017938,0.3532875,0.3370661,0.331574
rc,36.1813375,2.16366,1.0281875,0.4833965,0.579955875,0.54061675,0.703338013,0.302197663,0.315310375,0.39100875
rc,25.73325,1.018648375,1.37806875,0.389817125,0.318290413,0.252725138,0.233651625,0.272990625,0.173450613,0.2437845
rc,10.016615,1.77146125,0.97752175,0.550750375,0.358822313,0.285210025,0.25123475,0.285209875,0.286104075,0.202060738
rc,38.02745,9.95820625,3.16264125,0.534061,0.318290538,0.409485875,0.25928175,0.23424745,0.22590295,0.234247625
rc,15.4820875,0.534955,0.561181,0.41336075,0.272692775,0.308389375,0.358822,0.3877305,0.39160475,0.221134475
rc,13.9279,0.823443,0.466111,0.2834215,0.287594063,0.294448625,0.292064463,0.384750125,0.258089475,0.314118388
rc,44.6376125,4.27069,1.2874675,0.55909475,0.207425413,0.267626125,0.303389625,0.237824125,0.222922675,0.17047025
rc,12.0440875,0.403525375,0.235737475,0.263751875,0.18775575,0.284017375,0.137687413,0.234247388,0.168384025,0.162721588
rc,47.4616875,9.77403875,1.34051625,1.21236375,0.314886125,0.40996525,0.439358625,0.395317375,0.418426625,0.375155125
rc,111.446875,6.486215,2.51771375,1.06812075,0.636581,0.504939038,0.367763063,0.393887125,0.387858375,0.37917275
rc,31.0947,3.58285375,0.6037985,0.27299075,0.284316,0.29742875,0.28491175,0.324251188,0.225902875,0.239611988
rc,42.5943625,3.41596,1.60993125,0.60379875,0.243784375,0.254513188,0.273587,0.159145425,0.24259225,0.1829872
rc,127.617625,16.731075,5.37995125,2.121935,0.770096375,0.420811288,0.395777375,0.28014325,0.31829035,0.180007163
rr,0.71049125,0.21711125,0.174046513,0.128746725,0.159890125,0.226498788,0.196845263,0.1470752,0.191778963,0.149608375
rr,15.6033625,1.4984675,0.666980125,0.216366225,0.263752063,0.357629625,0.220836338,0.243784275,0.345112688,0.313522
rr,19.8163,4.97105625,1.66417125,0.939374375,0.623468375,0.600818,0.314714225,0.326635063,0.22530695,0.300408875
rr,13.9561875,0.770095625,0.599626,0.29117025,0.296237038,0.24050625,0.208319125,0.2205385,0.3132241,0.313522375
rr,1.77995375,0.230969125,0.364633375,0.298621,0.253917,0.291021225,0.31367125,0.243188438,0.22649905,0.308604513
rr,1.695165,0.330509375,0.240506125,0.340791113,0.362696425,0.331403375,0.3062845,0.254811463,0.2786532,0.315846125
rr,1.90318625,0.248403888,0.308753625,0.225306875,0.301154125,0.326948388,0.209511375,0.17345045,0.21353485,0.27910025
rr,4.21987875,0.279398113,0.29593875,0.301005125,0.147224163,0.246913875,0.22322075,0.314616375,0.292660138,0.2335025
rr,2.09168625,0.2159191,0.264646188,0.227690813,0.19908065,0.37387225,0.3647825,0.2802925,0.22843615,0.23454565
rr,0.97811725,0.291915138,0.26822225,0.272692825,0.285806,0.324399963,0.283868875,0.199378738,0.35628875,0.209511625
rr,2.61964125,0.67145025,0.2893823,0.237823688,0.267924563,0.412168625,0.309648,0.3317019,0.278355064,0.330807375
rr,1.28806525,0.439884663,0.405612,0.26762645,0.250638538,0.321084,0.30082625,0.31620475,0.31705575,0.2805607
rr,133.1885,8.52111625,3.0887325,0.857118625,0.399353288,0.53525275,0.264646288,0.27970075,0.236035625,0.265429625
rr,34.8086625,1.0159675,0.852351125,0.333191863,0.3385565,0.39333325,0.3406425,0.30875375,0.4008435,0.314118188
rr,47.276325,5.7751325,2.78891875,1.55628625,0.75042625,0.5579025,0.288488,0.325443,0.2849118,0.346901
rr,5.57098625,0.268222613,0.250042825,0.236333713,0.3409405,0.327171663,0.32603925,0.32961555,0.368656663,0.2935544
rr,3.69610375,0.38773,0.2673282,0.289680125,0.244976375,0.37350025,0.282825563,0.231118488,0.329317375,0.314416238
rr,8.4185975,0.51271175,0.283272625,0.224114575,0.1744936,0.385346125,0.252725338,0.284017513,0.190437913,0.2722455
rr,19.1618125,1.97232625,2.6935525,1.104777875,0.47236925,0.374319125,0.265837875,0.273655075,0.23931395,0.300409063
rr,8.50114875,0.516924,0.401141625,0.340344025,0.309051725,0.31945275,0.262559663,0.221730563,0.2940015,0.283868638
rr,76.7270875,4.84469625,1.530656375,1.1014995,0.5090265,0.372451788,0.353542538,0.26752875,0.35551825,0.381188063
rr,60.4209375,6.99941,2.95283375,1.64450125,0.665787625,0.3081575,0.233651538,0.230671425,0.16033725,0.163317613
rr,45.9554875,4.31420625,2.5147325,0.935798,0.624660125,0.379239125,0.413073375,0.354292625,0.37199325,0.39160475
rr,18.6002875,1.105672125,0.26106975,0.302197275,0.251532875,0.139416,0.233651238,0.272990875,0.319482875,0.359417875
