Condition,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
nrc,7.16704875,0.351669275,0.233949625,0.169576113,0.13500535,0.380876125,0.190438,0.177622788,0.261963938,0.238717838
nrc,13.34465,3.62159375,0.790660125,0.322761125,0.199378638,0.331403625,0.176132638,0.267030125,0.208319563,0.24020825
nrc,8.0062825,0.951891375,0.348093,0.353308375,0.295640438,0.339748375,0.34898725,0.32663525,0.306369375,0.403078625
nrc,8.11044,4.146415,1.082724375,0.4342225,0.245572288,0.387134,0.227690863,0.231565363,0.28610425,0.1636155
nrc,6.0060925,1.8324075,0.37372325,0.493827375,0.29295825,0.344964,0.300707,0.392349625,0.35912,0.36031225
nrc,23.899525,9.43784,1.89037375,0.525119875,0.4887605,0.287593938,0.447335525,0.263453988,0.250042788,0.302495263
nrc,13.9702125,2.37972875,0.65863525,0.361801913,0.45359375,0.457766125,0.359119763,0.40769825,0.347497,0.315012313
nrc,1.2362075,1.182860375,0.328721375,0.33229775,0.242890113,0.260771625,0.296236625,0.316204625,0.34809275,0.319780688
nrc,1.72467125,0.3312545,0.301005125,0.197441325,0.271798875,0.201315963,0.263900875,0.249744875,0.314118125,0.223369588
nrc,1.26004875,0.310393125,0.210703563,0.220538238,0.2956405,0.236184588,0.299068125,0.229181375,0.281335413,0.275822125
nrc,8.97352625,0.978862,0.543263875,0.355897638,0.4476625,0.39750575,0.38897025,0.3724052,0.168051138,0.417085875
nrc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nrc,1.75149125,0.329019113,0.5696745,0.401886325,0.369997625,0.445547125,0.397863138,0.30666775,0.357928,0.237525763
nrc,0.429006875,0.128001675,0.212641025,0.271947575,0.2663598,0.303985375,0.307040375,0.243784236,0.364633375,0.2595795
nrc,7.98706,0.269414563,0.439288525,0.464322625,0.252129,0.308455475,0.326933363,0.252427,0.299216875,0.370742625
nrc,3.10869875,0.306369375,0.43899075,0.329317375,0.405612,0.310541925,0.429155988,0.377001863,0.349881,0.272096813
nrc,0.7829115,0.799004875,0.312330125,0.168682025,0.16212555,0.307263838,0.1716625,0.187457788,0.166297988,0.206233275
nrc,12.0136875,3.2392325,0.708107625,0.458362375,0.35435175,0.4103805,0.4112744,0.4494214,0.390710625,0.443162875
nrc,21.28195,4.66945375,1.95266,0.77248075,0.292064613,0.2610698,0.199676738,0.23424795,0.1752387,0.231863438
