Condition,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
rc,130.193875,36.6808875,11.42747375,6.34197,2.0313375,0.910764125,0.426771625,0.305177313,0.264645813,0.207425375
rc,36.8054375,4.67779375,2.80263,1.3977375,0.46074625,0.42140725,0.170470388,0.227095,0.17404655,0.25332125
rc,90.7557875,47.9725125,14.7820375,8.3589925,4.5681225,1.65701875,0.727181,0.67234275,0.551942125,0.419619
rc,259.860875,46.0532375,22.375725,10.60255125,3.77657125,1.933586375,0.882153375,0.75817425,0.5106955,0.393735125
rc,106.57025,35.6067625,8.74642125,3.74438375,1.6474825,0.7164515,0.2944485,0.320674625,0.245572438,0.23245955
rc,132.97375,31.3331,15.81915,7.30756625,2.7847475,0.939374,0.5793605,0.491144875,0.25272525,0.238420125
rc,297.58575,104.7403,52.7694875,29.11105,12.8317625,5.24524,3.0589275,1.921665,1.215940875,0.510218375
rr,7.07048875,1.40012125,1.0736335,0.115633563,0.23201245,0.25034085,0.187606663,0.2226245,0.175238463,0.1339622
rr,118.169125,123.3035,41.2312125,14.937,6.611385,3.033895,1.8108,1.056201,0.53048425,0.389816375
rr,141.13825,36.915675,27.1286125,13.3229,9.54634125,10.7300975,0.284912,0.3215635,0.320675,0.301601038
rr,44.102375,6.97735625,5.23213125,2.60891125,1.333958375,1.52827125,0.2241149,0.333191663,0.24140025,0.236035488
rr,17.71695,0.907784625,1.6784775,0.387432375,0.1692783,0.25391725,0.182391038,0.1949083,0.18417955,0.2062333
rr,12.1872625,0.892287125,0.630620875,0.40605905,0.25943095,0.2832725,0.33766225,0.401737275,0.279249375,0.366272475
rr,18.6187875,0.437202375,0.79602425,0.230373113,0.194312125,0.336172,0.253618938,0.196100488,0.307830125,0.231863288
rr,21.82945,2.4598975,0.944738875,0.491740875,0.2664345,0.317166875,0.179410913,0.288190125,0.334384,0.2962365
rr,13.7595,0.427665875,0.398654875,0.232459463,0.176132888,0.302793125,0.216962138,0.229777175,0.19431225,0.19848475
rr,7.7265875,0.262261813,0.3060716,0.2613679,0.32544325,0.348092875,0.225902875,0.346006625,0.352861125,0.249148938
rr,14.058125,5.10815,2.6467625,0.982588625,0.55313425,0.354649625,0.37610725,0.2792495,0.306821,0.275970988
rr,7.4062125,2.57046375,1.3789625,0.50306625,0.345112838,0.4199175,0.252129125,0.3853461,0.426772125,0.299216875
rr,159.74625,42.9644875,19.412175,7.62466375,3.136415,1.71900875,0.798706875,0.5650547,0.408890163,0.396969
rr,23.193775,15.4075875,4.63845625,3.045815,2.45691625,1.461814,0.676218375,0.672046125,0.50634475,0.3373645
rr,118.7985,41.011875,23.5773625,16.8407625,8.37568375,4.29393625,3.09946,2.635735,1.36972425,0.286103913
rr,24.8356125,1.4072725,0.48518475,0.397565375,0.315906313,0.376771875,0.371934875,0.284912,0.340344388,0.272394388
rr,17.5756875,3.14774,1.47105125,0.67413225,0.331999513,0.399834125,0.383558375,0.362994375,0.343921175,0.371041
rr,38.3629125,3.71517625,3.6108675,2.00212875,0.820761,0.618103625,0.218750375,0.26166575,0.240208075,0.205637163
rr,46.8388375,15.847175,23.4665,11.1544875,4.79760125,1.99914875,0.796917875,0.547173875,0.30338925,0.39220075
rr,34.60155,6.04573625,4.56662875,2.03163375,0.920599,0.6622115,0.3930947,0.409485975,0.196696463,0.285209488
rr,173.436375,33.6958375,12.7912125,9.40566125,3.49761875,1.85252125,1.38045325,1.01566775,0.731949125,0.36239825
rr,146.703125,26.5921625,27.3562875,16.7656625,8.16468,3.90412375,1.9586175,1.31011875,1.25170375,1.16945
rr,76.4349,10.7188,6.67814125,5.3006775,1.16647,0.523927263,0.579360375,0.349592125,0.34988125,0.3069655
rr,65.39375,12.2941375,2.345455,1.0412975,0.478628063,0.477026375,0.25868575,0.2712025,0.33021175,0.275375
