Condition,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
nrc,38.298525,23.289475,6.8417575,2.4470825,1.85103125,1.8870925,0.514688875,0.211001763,0.320376625,0.311138
nrc,58.043125,53.0988,21.3501975,7.69678375,4.70313,1.70410625,0.455978188,0.28401775,0.373126875,0.482800125
nrc,33.3704,29.0475625,21.8610125,13.8659,9.47331125,2.26498875,2.0879625,2.46615625,0.45031575,0.221432375
nrc,56.598475,106.41975,63.98825,40.9045875,25.73385,13.8629,9.43425875,3.13403125,1.001362375,0.52333175
nrc,78.3380625,40.76622875,20.13425,10.9497225,4.573789125,2.15025,1.53065375,1.323528375,0.903314663,0.511708875
nrc,255.69075,171.6805,87.870375,36.255875,17.948825,8.89066625,7.7945375,2.5016225,2.12610875,0.533464375
nrc,102.901,70.5441875,49.087125,27.5643,15.9097375,7.7402975,5.46876125,3.409405,1.3160775,0.376107375
nrc,39.617125,51.08325,18.3285,7.6133375,3.20257625,1.227266625,0.539127,0.614229375,0.52184125,0.368060625
nrc,17.165325,12.722975,5.516745,1.86474,0.941758125,0.537935,0.340642375,0.315906375,0.275673125,0.307561625
nrc,15.6692375,10.31525,3.88534625,0.38504825,0.35107325,0.257791563,0.197292338,0.228882975,0.3150125,0.241698138
nrc,93.529825,31.2014,17.3676875,7.10491,3.53874375,2.4694375,1.370915875,1.061565125,0.64850275,0.522735625
nrc,61.630325,31.8433125,7.0608,5.12424625,2.76925125,1.3530325,0.632409125,0.346304875,0.246764663,0.136495488
nrc,20.2603625,6.29696875,1.86682625,1.56314125,1.009410125,0.579062625,0.744466,0.59575175,0.456872125,0.216664238
nrc,9.0971975,1.46419625,0.482501925,0.454786,0.318290438,0.318886675,0.198186513,0.2446785,0.207127313,0.27775925
nrc,73.819475,44.6900625,9.78849125,4.39795,3.45216875,2.00869,0.9559145,0.510814625,0.270755638,0.448527625
nrc,40.6324875,19.3641625,4.9543675,2.4449975,1.94967625,0.6601245,0.399055813,0.508430375,0.300409075,0.36299425
nrc,183.29975,76.0522875,40.0438625,29.460325,18.1914,10.53699875,5.80076125,3.2341675,1.3864125,0.599626125
nrc,131.206025,93.63415,56.2533875,28.5871375,15.5938375,8.77802,5.613,3.15191125,1.403101375,0.4488255
nrc,132.73175,140.854625,89.787825,48.0201625,26.7018375,16.697725,9.2352,7.3767075,5.1474875,2.8395825
nrc,72.773975,37.8515125,28.45065,5.604065,3.53338125,1.972925,1.2540895,1.150376,0.979905625,0.456574
nrc,76.9189,46.47345,23.51835,12.33645,9.5421475,5.98434125,3.1203225,1.73331375,1.1295145,0.8118205
nrc,47.3287625,29.66775,18.3314875,7.09001,4.31539375,2.25545125,1.40012125,0.78857375,0.320674813,0.333191563
nrc,287.574375,182.596625,73.3474625,60.9234,41.2061375,17.9720875,10.9625625,8.26362625,4.007835,2.4032725
nrc,204.815875,174.88225,70.0083375,38.6335625,22.9646125,12.15585,7.10848875,4.35473375,2.32220875,1.330383375
nrr,135.47,45.7391125,11.6301375,5.2798175,2.58328125,1.146203625,0.556114375,0.233055513,0.269861625,0.2698615
nrr,62.737175,30.5478125,5.988815,5.71135625,1.7383775,0.561478875,1.057691,1.69695375,0.6809865,0.8010905
nrr,25.9967125,11.22005,3.5962625,1.7327175,0.798707125,0.357033625,0.33021185,0.596497125,0.134260238,0.2926605
nrr,34.1202375,10.931875,5.30783125,2.0349125,1.55896875,0.785295875,0.4100825,0.40948645,0.253022825,0.250340603
nrr,52.8100125,12.0578,4.27426625,3.26844125,0.996000125,0.816587625,0.451806,0.298620938,0.287892,0.248254775
nrr,20.203125,3.2544325,0.596645875,0.431540375,0.256301288,0.326635525,0.307263875,0.3990555,0.295044525,0.3212711
nrr,17.2284875,2.50788,0.493231625,0.31769475,0.346900875,0.286997975,0.231565013,0.361205825,0.389518375,0.358226063
nrr,22.5655875,1.51814,0.3659744,0.475051625,0.315310088,0.37372325,0.245870813,0.282974738,0.290574125,0.27418265
nrr,34.027875,9.106435,4.36755,2.806505,1.18792825,0.54210725,0.399055375,0.32842325,0.198782563,0.298918913
nrr,4.473654875,0.551644375,0.30785975,0.371637125,0.3498815,0.26583825,0.33945035,0.25302305,0.303389,0.229777075
nrr,63.6407625,10.50122,5.87765125,1.9878225,1.050835,0.4419705,0.359716,0.230671075,0.173450475,0.1794109
nrr,23.4330875,5.2801125,1.5795325,0.772182875,0.34243055,0.242890288,0.31233015,0.294150588,0.254215288,0.205339125
nrr,59.8493375,5.29561125,4.62445375,2.249195,1.25975,0.58949375,0.35435175,0.392796875,0.515285125,0.250042875
nrr,27.568475,1.9145125,1.8411975,1.24932125,0.70453075,0.348093,0.286103875,0.301601438,0.257493263,0.2956407
nrr,77.4172625,19.1939875,1.751195,0.6383695,0.58800325,0.384899,0.198186325,0.263901,0.154525938,0.18164645
nrr,11.0397375,2.78534375,0.911062125,0.266136713,0.270010763,0.218154163,0.377597288,0.30756175,0.208021225,0.315608338
nrr,31.5611125,3.312845,1.79708875,0.76801025,0.4747535,0.1969944,0.298024875,0.256599625,0.21606795,0.245572588
nrr,14.964725,0.390859588,0.32007875,0.2400591,0.227542,0.385346338,0.227095125,0.400992625,0.349583113,0.272394788
nrr,18.96405,7.7063225,4.763625,1.56597125,0.62316975,0.44480225,0.4707304,0.334234875,0.446292375,0.4249835
nrr,8.95354875,1.3277025,1.0824255,0.5853205,0.352265438,0.35971625,0.264348175,0.437500625,0.38594195,0.432135875
nrr,29.780425,8.07527375,3.170985,1.63615625,0.550153625,0.4813104,0.356437875,0.372233125,0.26285775,0.305475588
nrr,18.3446,2.7919,0.832383375,0.371041125,0.2589835,0.262857926,0.24706285,0.212491675,0.262858,0.30815775
nrr,41.45495,19.5459625,7.59486,2.796665,1.6623825,0.517967925,0.35852375,0.308157875,0.42081125,0.329615625
nrr,8.11938125,8.95921,2.59341375,0.848179,0.81718425,0.830298,0.430944125,0.395777125,0.311734125,0.311137875
